floor_number,comment,replys
1,"前几次相亲都失败了，因为大家用的手机不一样。

我带苹果时，对方正好用华为；我带华为时，对方恰好用苹果。

对方拒绝的理由都是：道不同不相为谋。

所以这次相亲，我同时带了苹果和华为。




我把两个手机藏在包里，我的计划是：对方用哪个，我就拿哪个，尽量保持一致。

但我知道，事情肯定没那么简单，对方可能会同时亮出两个手机，此时如何判断对方的立场？

其实也不难，只要观察对方如何摆放。

如果是叠放，看看谁压谁。比如华为在上面，表示华为压苹果一头，暗示对方更支持华为。

如果左右并排，位次也有讲究。在国内，左为尊；在国外，右为大。通过这个规律也可以判断对方的立场。




我进了咖啡店，一个漂亮女生坐在桌子对面，桌子却没有摆放任何手机。

我有点慌，难道对方也跟我一样，把手机藏在包里？

如果我们都不暴露身份，那如何判断是否志同道合？




正当我疑惑时，她开始从包里掏东西。

她掏出一台精妙的机械旋转装置，上面有两台手机，一台苹果，一台华为；两台手机正在这个装置里进行无规律地旋转，我再三确认，两台手机不存在叠放，也不存在上下左右，运动轨迹处于混沌状态。

我根本无法判断哪台是她的主力机。




情况开始有点复杂了。

难道她的立场处于量子叠加状态？还是说她有明确的立场，此举只想试探我的反应？

这是一个饵，她在让我咬。

接下来我必须要非常小心，我的任何一个动作，都可能会暴露身份。




但我也并非等闲之辈，我悄悄把手伸进包里，进行了一番盲操。

此时，她的其中一台手机显示来电。是苹果。

看来，苹果是她的主力机。

我在没有暴露身份的情况下，探测出了她的果粉身份。

她的表情从一开始的得意，到震惊，再到恐慌。

她不知道我是怎么做到的。

她掀掉桌子，一个箭步上前，摁住了我在包里的手。

她尖叫着发疯：别装了！让我看看你是什么成分！




她把我的手从包里揪了出来。看着我手上的手机，她傻眼了。

“不可能”，她瘫坐在地，披头散发，“你到底是谁？你手上拿的到底是什么设备？”

我说：“诺基亚3210。不然你以为我为什么可以盲打？”

她问：“诺基亚？用诺基亚的人是什么成分？”

我给她看了看诺基亚的开机画面，是两只手牵在一起。

我说：“人与人之间，应该携手同行。手机被发明出来，其初心是为了对话和沟通，而不是用来给人划成分。”

以上编辑于2023.10.10

内容是转载的，发出来只是图一乐，无任何盈利目的，只是这两天突然火了，侵删。","['她又是按你的手，又是拽你的手，你们最后牵手成功了吗？', ['肯定是成了，诺基亚的slogan：connecting people，连接你我，暗示作者已经和相亲对象建立了链接。', '链接仙人'], '建议改成三台手机呈三体运行状态', ['大史：你最好说的是手机', '“三日凌空——”'], '喜欢把成分挂嘴边的一般是花粉占比多，你讽刺这点，多半是果粉', ['假设你的说法成立，那你应该是华为用户', '而对他这评论加以论述的你，应该是果粉'], '一开始我以为就是一个段子，看完我才觉得真的是人才', ['蹭一蹭\n\n小米手机历史销量数据\n\n可能是全网最全手机销量数据\n\n2012-2023全球各地区、各国手机销量数据，\n\n近三百张数据图表，\n\n从数据看华为曾经的巅峰与低谷，\n\n从数据看苹果在发达地区的强势地位，\n\n从数据看三星在全球各地的强势地位，\n\n从数据看小米海外欧洲、中东、拉美、印度崛起之路，\n\n从数据看OPPO、vivo国际化探索，\n\n小马甲不小：2012-2023全球各地、各国手机出货量/销量，持续更新', '我以为又一个华南理工大学的招生广告'], '抄银教授公众号9月21日的推文，没有注明出处', ['银教授虽然有时候段子很尬，但一般发出来的文，质量都不错', '太搞笑了哈哈哈哈哈'], '诺基亚连夜给你发了一个大红包', ['诺基亚仍然是排在华为之后的全球第二大通信设备制造商，跟以前比是衰落得不行，但不能说不卖手机它就凉了吧', '诺基亚还是世界500大'], '在国内，左为尊，在国外，右为大。\n那我要是把华为放左边，苹果放右边，你怎么判断', ['按ip地址属地走', '谷圣狂喜'], '女生掏出的是离心机？', ['而且是高速离心机', '有钱没文化，才用诺基亚'], '诺基亚倒闭了，所以说明人与人不能携手同行', ['转战低端老人机市场了，偶尔也出智能机，N6N7N9 PUREVIEW我都用过，至今还在用诺基亚当主力呢。', '是苹果打破了人与人的链接'], '写的好好哈哈哈哈哈', ['人家写的段子，讽刺的就是用手机分类的行为', '用个手机就能把人分类，他的圈子太狭隘了']]"
2,"看了所有关于小米跟华为相关话题下的评论，就这么说吧：

祝支持小米的永远都用小米手机，开小米汽车。

祝支持华为的永远都用华为手机，开华为汽车。

谁赞成？谁反对？","['评论里说华为不造车、华为没有车的，为啥每当有问界m7m9出事故了就有一群刷遥遥领先的？都是什么人刷的？', ['好事华为，坏事华为不造车，双标回旋镖而已', '反串的挺多出了几次事了\n销量怎么前三下不来呢，这是为什么呢'], '强烈赞成！以前我也说过这样意思的话，然后米粉说我是海军，来黑小米的', ['华为用户绝对不会觉得阴阳，米粉为什么会觉得是阴阳？要不要好好想想', '啊这。。。你就没问他们为什么不愿意吗？'], '每次看到有花粉说这句话我就想笑，家里全套小米的人比比皆是，包括我，就算一辈子只用小米又怎么了如果不是对小米有强烈偏见的人说不出这种话来', ['你觉得想笑，说明你心里有杆称，但是又不服气，所以你特意发帖表示一辈子用小米又如何了。\n花粉不会觉得想笑，他们会感谢你祝福他们一辈子都可以用华为。\n但是你做不到，你没有感谢别人祝福你用一辈子小米，你只是很气愤的说一辈子用小米又如何。所以你内心深处还是觉得小米不如华为。', '你看他动态干什么，对于一个祝福你的人，你何必那么苛刻'], '祝支持小米的富用小米旗舰机，穷用小米千元机；\n祝支持华为的富用华为旗舰机，穷用华为千元机；', ['快跑，有钱的小米用户和没钱的华为用户会拿刀砍你\n这也正好回答了小米为什么总在冲击高端却总是难成高端的原因，刻板印象的偏见深入骨子里了', '没有问题，我就是这样的。'], '那完蛋了，小米汽车至少还有辆车开，华为不造车', ['在逼呼里，大部分米粉都认为问届系列就是华为的，不然也不会有那种离谱论调', '我们用华为智选的贴牌车也行。不挑。'], '我愿意用一辈子华为！米粉愿意用一辈子小米吗？', ['不愿意，因为我用的红米', '等小米汽车来了，按照hyperos白皮书的节奏，不在高速上烧芯片也得更新以后黑屏无限重启'], '华为用户表示谢谢你的祝福', ['是的，我是因为用过小米产品所以不用了，以前看“双核十茎头”“刘诗诗带你品茎头”才开始转为黑粉的，因为它恶心到我了', '不是你自己想得歪吗'], '我愿意用一辈子小米，华为上过一次当就够了。', ['你看这不是平和了', '所以这个建议挺好的，祝米粉永远小米，花粉永远华为！'], '米粉长大了，不是有钱了。', ['雷军的钱不就是米粉的钱？一平均，我们米粉都是亿万富翁', '华粉智慧变大了，不是余额变大了。']]"
3,"要成名将你得自己当赵云杀过长坂坡；

而不是每次宣传自己杀过长坂坡，都特别强调自己是躲在赵云叔叔怀里的。","['领先赵云半个身位，你就说厉害不吧。', ['我和赵云叔叔一通嘎嘎乱杀，我负责嘎嘎，叔叔负责乱杀', '厉害惨了。。现在小米门店店员都会斜着嘴哝哝地告诉你，“我们卫星通话比隔壁某为快！”'], '全球首过长坂坡！', ['首过也是实力', '首发高通'], '我负责嘎嘎，赵云负责乱杀', [], '都是赵云抱着过得长坂坡，\n一种说自己是被赵云抱着的，\n一种说是自己骑马过得，没赵云啥事。', ['后一种不靠赵云自己过的就是名将啊，没毛病啊，还是你对赵云有什么误解？', '什么叫都是？'], '怕是这回子龙将军真的要大喝一声：呸！怀里抱的个什么首发晦气玩意儿！', ['这个顶多算小卡拉米，毕竟没有首过', '怀里抱着nova11se'], '能躲再赵云怀里也是资本，为啥别人不行呢', ['他爹是刘备', '可惜小米背后是魏国'], '问题是他们宣传领先赵云半个身位…', [], '和赵云联合进出长坂坡', [], '别的不说，小米 s2 到现在吹了多少年了还没出， 它现在要是能自己设计出麒麟 870 级别的芯片，估计也没多少人会骂它是组装厂', ['现在可以了，高通肯定不介意给个过期的图纸当噱头，提提股价'], '兄弟，骁龙8 gen3可以自己买，你自己买一颗，手搓出一台nova 11se水平的手机来，我都跪地上给你唱征服', ['所以不高端啊', '你都能买到8gen3，还敢说自己高端？']]"
4,"小米自己就不拿自己当高端。

小米去年出的一款旗舰机，具体型号我忘了，看着是真不错，当时网上热度也很高，各方面配置也拉满了，看着质感也相当不错。

结果打出的广告词曰：“这真徕卡！”

我：？？？？？

哪家高端品牌还靠着别人给自己脸上贴金啊？？

说白了小米喊了几年的冲击高端，也就是喊喊而已，他们自己都不觉得自己产品高端。","['那个广告我都看傻了卖手机还是帮别人打广告啊', [], '包括今年也一样，铺天盖地的说自己首发8gen3. 铺天盖地的软广说8gen3多牛逼。吹了半天，那博主们你们多吹吹小米自己的努力啊，就吹个8gen3. 别人不也都可以拿到的吗', ['我都以为gen3是小米研发的', '高通负责研发，小米负责联合'], '没说屌丝就不错了，你要求太高了', [], '当初华为和徕卡联名，米粉到处挖徕卡黑料，现在网上还有痕迹，你说这回旋镖打的', ['先有小米后有天，莱卡四摄赛神仙', '当时好多喷莱卡嘲笑的。😂'], '打小米最疼的永远是自己的回旋镖', [], '', ['老武器拉出来改改还能打自己家的乌克兰'], '', [], '不如把MIX单独拎出来成为一个品牌MIX这名字比XIAOMI听着可高端太多了', ['我不喜欢小米，但是MIX光从设计来说，放在今天也挺惊艳的。但是米粉可能不需要设计，只要硬件+低价就行了，其他问题自适应，甚至红米销量远超小米，这高端只能在互联网上成了', '一直死磕性价比出身的数字系列去冲高端，困难重重，才有影像旗舰ultra系列的出现，但本质上还是数字系列的补充。而mix就不同，一开始就是主打黑科技，这个用来冲高端，刚刚好'], '都是华为玩儿剩下的', ['吃那啥都赶不上热乎的，你说怎么高端的起来', '出了兰博基尼联名'], '某家的保时捷手机呀', ['对，华为玩剩下的。', '抛开内容，这广告词真的问题挺大，自己就没相信自己。太把当一供应商当回事，自己应该说自己的优势，运行速度，信号，拍照好→_→（可以提莱卡，别真莱卡，意思是：让我想到以前的那个是假莱卡，凭什么你就是真了呢，别人就想歪了）']]"
5,"在科技行业，你连个制裁都混不上，还好意思说高端？？

高端这么没有含金量了？？已经不需要老美认证了？？

没有老美认证的高端我不认！！","['白宫严选', [], '和ov一样老老实实做自己不行吗', ['因为有华为前车之鉴。觉得自己没硬实力抗解散无可厚非，研发人员被别家也吸收了。澎湃芯片呢，虚空吹多少年了，从麒麟950吹到现在，东西呢？', '小米是小丑，不代表ov不是小丑'], '如果没有华为与华为的自造芯片，美国芯片在中国，你觉得会卖多少钱？哪怕你不用华为手机，但是因为华为，你才可以用到便宜的美国芯片，懂了吗？华为手机卖的贵，不是因为其他，是因为华为手机（旗舰）是真的好用，我用过华为，荣耀，OPPO，小米的旗舰后，觉得华为是真的好，其次是荣耀，你看你身边但凡有两个钱的人，要么用华为要么用苹果，见过几人用小米？当然屌丝与学生除外，最后你要知道，买华为的消费者都不是傻子', [], '老美制裁了，但是他的官司打赢了', ['笑死了，不是老美发现是自己人，制裁错了吗', '靠讲道理让老美不制裁，真高端'], '哈哈哈', [], '制裁？太君，别开枪，是我', [], '美国人可没有那个胆量。\n美国建国近三百年，你找的出第二个在与美交战期间，还能跟美国政府打官司胜诉的敌国企业吗？', [], '', [], '哈哈哈', [], '制裁就制裁芯片，制裁操作系统', []]"
6,"曾经，低端也难。

当初麒麟下放低端手机，雷军在采访时候都哽咽了，说小米到了生死存亡之际。

向来推崇性价比的雷军，在友商比他更有性价比，愿意把他的理念发扬光大的时候。

他竟然不开心了。","['别忘了一枝独秀不是春', ['麒麟独秀不是春，都用高通春满园', '一亿像素雀食没啥用，传感器就那么大，海糊还是糊，数字上好看点罢了，只要想，十亿像素都能搞出来，无非是算法将一个色块多分几个相同的小色块出来，但是和2000W依旧没差别就是了，而且cc9成像速度也可以堪称是龟速了，要等几秒才能保存下来'], '难怪华为被制裁的时候一起开香槟', ['不被制裁小米确实也扛不住吧，那时候麒麟芯片卖到2000元档，一千多就能买麒麟810，性能也还可以', '卢十瓦就是那时候来的'], '已经赢了三年了，5000w华为用户改用小米', ['卢的数据根本不符合那三年各品牌高端销量的变化，差距极大。小米那三年高端份额增加有限，最终不过3%。', '你再看看荣耀那几年销量的变化。去年荣耀销量比小米加红米还高。'], '你这强拉来的因果我也会：在网飞三体上映的当天，主导把版权卖给网飞的人被执行死刑', ['他出生不久就带领人类进入了新纪元', '我有个朋友，他刚刚出生，世界就进入了新纪元。\n（其实就是出生于00年最后一天而已）'], '970下放的时候也没有一点性价比…真正威胁到小米的是麒麟810', ['看那时候的拆解，那些荣耀性价比机型为了拼价格是真的猛，里面的减震泡棉，防水胶圈都砍了。', '拿的是红米的剧本，芯片拉满，其他不行810能直接打半年后的765G'], '军儿大喊：“一枝独秀不是春，百花齐放春满园”', [], '新国货……', [], '那时候如果美帝不出手，小米手机大概率要完了', [], '毕竟性价比又不难做', [], '哽咽？！不会吧？！', []]"
7,可能是太接地气了吧↓↓↓,"['', ['白天干活\n\n晚上换上白色的工作服\n\n飘啊飘\n\n你是谁啊\n\n我是啊飘 。。', '能力是飞行 代价是贫穷 什么赛博朋克'], '当年这玩意儿十万元，而且附加影响巨大', ['老美就是因为这个很生气，科技研发1到9，但是就是无法产业化赚钱，结果中国弄来直接变成10狂赚', '应该是两个瓜才对'], '当年土豪玩具，现在乡间犁地', ['旧时王谢堂前燕，飞入寻常百姓家。', '让每个人都能享受科技的乐趣'], '为什么有人觉得是摆拍，我前几年买了一台，回老家我爸玩了两天喜欢的很，后来就留家里给他了。平时村里溜达都踩着平衡车去，各种坡就硬上，挑点担子，拎点东西完全没问题。后来放在路边不知道被谁拎走了，立马打电话让我买了台新的，他是真的爱骑。有时候去镇上车都不开，就踩平衡车', ['这玩意在农村就是成年人玩具啊。。。你要论实用性大把的东西比它强，但是这个好玩啊，酷啊！就像溜旱冰一样，普通人难道真指望靠溜旱冰来赶路吗？', '即使不是摆拍也是极其小众。正常买个三蹦子比这实用太多了'], '这个车但凡在田间遇到一个坎，这大妈得在床上躺三个月', ['这不说明我国基础设施逐渐完善嘛', '这个要看人的，如果是年轻人，并且掌握好技巧，躺一个月就可以了。'], '这玩意只能在比较平整的路面上骑，否则非常容易摔', ['现在农村的路面都超级平整的。', '你回头看图，图三是泥路，不一定合适。'], '这一般年轻人都不敢这么骑吧', [], '两千左右，这个价格都能买个二手电三轮了……也不知道是怎么想的，平衡车+扁担+粪桶', ['可能是孩子买了不想用了就给老人了', '要么是孩子买的淘汰了给父母用，要么就是摆拍'], '这玩意十多年前得十多万', ['让每个人都能享受科技的乐趣', '现在就3000块'], '我们单位有人骑着独轮平衡车过铁路平交道口的，骑这个走田间路慢点问题不大，不要把大妈当傻子在泥路跟你们公路一样开最高速', []]"
8,"给你机会不中用啊！

从2018至今，华为被制裁了5年，高端市场就没一个国产品牌喝到汤了，反而一堆垃圾产品现在全都标价5 6000

另外再搞清楚一个事实，华为被美国佬搞之前，对手一直是苹果，这群友商对标的是荣耀，而且他们连荣耀都没干过","['同意，一堆垃圾卖五六千，关键是，一个能打有都没有！给它机会却不中用', ['确实，包括某为。。现在好了。华为王者归来。'], '我办公室就一个用小米11Ultra的，主板坏了。。。100%几率', ['100%肯定是夸张了，98%差不多，我自己是烧了两次，另外两个同事也烧了', '我老婆不听我劝，非要买11pro，分期未还清就烧了2次主板，以后都不会再提要买小米这个电子辣鸡品牌了'], '看看国内所谓的友商所谓的高端就是一个彻头彻尾的笑话，华为被禁的这些年，人们宁可买🍎买三星也不会去买那些标价五千六千甚至于上万的OVM所谓的高端！', ['不如小米13RPRO', '对买鼎桥，两千块，晓龙680'], '现在它们也没干过荣耀', ['有点不明白，哪方面没干过，销量不是吊打荣耀吗'], '19年开始的吧', ['应该是18年，刚开始用的理由是华为涉嫌安全隐患什么的', '华为经历了多轮制裁，从制裁笔记本系统开始的'], '财联社10月27日电，Canalys研报指出，第三季度全球智能手机市场下降1%，由于厂商在二季度库存状况得到改善，并在三季度推出新品，因此出货量达2.934亿部。三星位居榜首，得益于更早的折叠屏新品迭代稳固了市场地位，出货量达5740万部，市场份额达20%。在iPhone 15新品需求的推动下，苹果紧随其后，出货量达5000万部，市场份额为17%。由于小米在新兴市场的强劲表现，使其排名第三，出货量达4150万部，实现了2%的年增长。OPPO（包括一加）位居第四，出货量达2640万部，市场份额为9%。传音（包括Tecno、Infinix和iTel）继续保持第五的位置，延续了上一季度的强劲势头，出货量达2600万部，成功捍卫前五名的地位。', [], '被所谓的制裁之前也是靠全部加上荣耀的低端局占领的外面市场，同样，现在小米也占到第三，而ov同时站到四五，谁说没人吃？', ['小米现在是第五，ov荣耀他都打不过', '低端局都用旗舰芯片，友商活该啊'], 'ov还是可以的，至少不会让人反感。', ['我家里人都是用这两个牌子'], '18年华为才刚崛起', ['18年已经到半山腰了……19-20年才是巅峰，nova5-6+荣耀系列压着小米跟蓝绿厂打，高端P40+MetE40跟苹果分庭抗衡，后面滑落，但60这一代保住了地位，华为跟小米最大的区别就是稳定，小米经常翻车，华为从20-60最起码也是保底高端', '小米系统是真的烂，我给我爸妈买过4部荣耀两部小米，用了三年后就小米出问题，两个都有问题，信号非常不好，微信收信息要延迟半分钟左右，有时还卡，荣耀确是一点问题都没有，即使屏幕摔碎了，系统嘎嘎好，华为mate40用了几年跟新的一样好用。小米手机，以后坚决不用，也不会推荐给人用！'], '我来挖坟了，请问华为的份额去哪里了', []]"
9,这是真的吗？,"['没花一分钱就能让人这么多年都加记住，顶级营销', ['那一块钱拍完照还放回了雷军的小金猪储蓄罐里面', '花了啊，不是用了一块钱出来对比呢嘛'], '比雷军的头还厚', ['笑死我了哈哈哈哈哈哈哈哈哈哈', '确实 把笔记本立起来'], '', ['按这个逻辑，右边那个中框厚度不是0吗', '他这个说的是中框薄，手感好。'], '当年比硬币就是这么比的，那几年没逛过淘宝吗', ['那看样子你真没逛淘宝', '既然说“薄”那肯定指的就是厚度。那几年我也经历过，只有雷军这么干'], '笔记本就是这么对比的，拿这个说事的怕是一点数码常识都不晓得', ['关注笔记本的基本上都知道拿硬币比，笔吧的评测以前也提到和硬币比厚度。\n但是小圈子的默契不是所有人都能接受了，而且雷军拿轻薄本来比，更突出营销了。'], '有什么问题吗？人家有图片的啊', ['你是反串还是真在问啊\n这玩意厚度比较的是立起来的硬币，厚度比立起来一元硬币大的笔记本可不多', '好家伙，这也算你们业绩吗'], '游戏本基本比一元硬币厚吧', ['我外星人没到一元这么厚。', '我跟几个同事的笔记本都是游戏本，最薄的那个，也比一元硬币厚的'], '雷总是会对比的', [], '其实在很多年前，在小米做笔记本之前很多年，数码圈就喜欢这样比了。那时候的蓝天战列舰别说一个一元硬币了，恐怕比两个立起来摞一起还要厚。', ['就是，数码圈本来就是这么比的，放小米身上就成黑点了', '就是'], '照这个逻辑的话，他甚至可以说“比一元纸币还薄”', []]"
10,"一个美国都不制裁的科技公司

和高端就不挂钩啊。","['管杂粮手机干嘛，人家一个心思搞组装学联想呢', ['你猜高通为什么把680这种垃圾芯片卖给华为？你觉得华为买高通芯片的进价能和其他品牌一样吗？', '哈哈哈哈哈哈哈哈，nova11se是自研，哈哈哈哈哈哈哈哈哈。'], '拿着跪舔美国换来的垃圾处理器高价收割中国人，然后把钱拱手献给高通，这确实是我们华为', ['麒麟：你继续说，我嗑瓜子。', '麒麟680卖1999：哪里贵了？不是一直这个价嘛？'], '确实，用美国高通骁龙680卖国人高价的，也是因为被美国制裁了，回过头来制裁自己的同胞。', ['', '我没买，谁逼我了？'], '舔美国公司用电子垃圾卖高价的才和高端没关系', ['质量垃圾的产品和性价比没有关系'], '主要雷军老是搞这种性价比之类的底层老百姓才关心的手机，怎么高端', ['忘记被下放的麒麟性价比中低端机杀得翻白眼喊一只独放不是春了？\n\n\n\n\n也没过去几年捏', '因为小米跳水的时候你们说是背刺老客户啊这就忘啦？'], '大疆、小米面对美国的威胁据理力争最终赢得官司，有错吗？', ['美国法官：从小米身上看不到任何威胁', '你看过申诉状怎么写的吗？大致就是汉奸向太君邀功那样'], '那倒不是，人家只是不打自家产业而已', [], '还是我们华为厉害，买一批680赏高通一口饭吃', ['感觉不如小米首发高通骁龙，在发布会上自豪的宣布', '感觉不如华为nova11se'], '就是美国制裁才开始买华为p20，要不然我在用办电信宽带送的荣耀。', [], '不对，不是不制裁，是本来要制裁结果冖冖直接去打官司胜诉了，取消了制裁', ['对，小米居然打官司打赢了，这不就是显式确认小米没有危害性吗？']]"
