floor_number,comment,replys
1,其实还是多亏了王楚钦啊。让瑞典乒乓重获了荣光，给伊朗乒乓带去了希望，为巴西乒乓创造了历史。真是除了自家，为哪里的乒乓发展都作出了巨大贡献。。。 ​,"['能把191带走就是最大的贡献了', ['这回真走了', '就说贡献大不大吧！'], '从客观上来耍，32哥对世界乒坛的发展是有着巨大的推动作用的', ['给别人一个机会，给世界一丝希望', '32强:其实我是好人 我是给其他国家带来希望 这样乒乓全世界才爱玩'], '她他最大的贡献还是揭露了蝈乒的陈腐……他要是奥运守住了半区后果不堪设想', ['金童玉女捏', '决赛送张本是吧'], '王楚钦为世界乒乓球项目推广和发展做出巨大贡献，推广到中东和南美。许多年后，如果雨果当选乒协主席或到奥委会任职，会无限感慨的盛赞王楚钦吧', ['南美乒协主席，雨果当仁不让'], '养狼计划的核心角色是吧', ['喂狼计划的主菜', '北京烤鸭。。。'], '这何尝不是乒乓球外交', [], '大义！是为了乒乓球的未来全球发展牺牲自我的大义！向外输送华人种子选手治标不治本，只有王选手的自我牺牲的大义给外国乒乓球事业带去希望，才能真正的让乒乓球繁荣昌盛', [], '国乒养狼战术这么多年，到今天才发现正确的路，把一些二线实力派送出去，远不如弄个伪一线当一哥给对面成就感效果好。', ['杀伤力破坏力一级棒是吧！'], '他让国乒不再一家独大，赋予了乒乓球这这项运动更大的悬念性', [], '自家也受益了，乒协对关系户的能力没那么自信了', []]"
2,是真下血本啊！这样的经济大环境下，一群人浩浩荡荡去澳门。巴西运动员背个包，也没团队，取得这样的成绩真了不起。,"['自古差生文具多', ['坏了，这次拍子没坏。', '那到底是坏了还是没坏'], 'LGL带了五个自认为国乒前五高手去澳门，集合了国家队、省队优秀教练团队，结果没拦住一个单枪匹马的巴西人，还有一个容易被大家忽略的点：让澳门响起巴西的葡语国歌。还好不是在南京，否则张本智和拿冠军，在南京奏响日语国歌，那国乒不被吐沫淹死才怪！！！', ['我倒希望在南京输给张本，这样就能加速国乒清洗了', '是的，与其一直这样半死不活，不如直接加速'], '最后还是用纳税人的钱，但要无罪纳税人不让人说。因为他们头宝最棒！', ['我还被太子妈质问纳税纳了多少，纳的少没有资格骂他家哥哥', '太好笑了'], '太子资源逆天了，只差直接颁奖了，雨果啥资源，哎', ['阿斗被黑的太惨了。', '当代刘阿斗'], '巴西啊，巴西，你敢信，一个足球国家居然拿了乒乓冠军，然后乒乓大国就这么gg了', ['巴西乒乓水平和国足相当，现在巴西乒乓拿了冠军，所以国足马上能拿冠军了，快快全身家压国足啊，溜冰鞋换航天飞机的时刻到了', '明白了，国足下届世界杯冠军，准备卖房梭哈'], 'cp粉在骂孙颖莎没有现场助阵', ['一时之间分不清他们是串子还是演子', '哈哈哈'], '但凡读过书的人都知道，资质平庸的学生配再多的特级教师也考不上清北。', ['GG马上就读北大非全日制研究生了，惊不惊喜？意不意外？', '是全日制 全国破天荒头一个在编的全日制研究生'], '其实是有教练和团队的。。但是和国乒这种连拍子都有人看的豪华人工授金阵容比肯定是不够看。。。', ['不提拍子，都忘了这一茬了', '拍子：“哼！这次可别想让我背锅了！”'], '巴西总统：我去看中国足球比赛我容易吗我。怎么着竟然是乒乓球夺冠了？！', [], '上次在南京开往徐州高铁的上，临下车时无意瞥见了前面小姐姐的微信聊天背景，没错是大头。当时，我就想去问问她为啥喜欢大头，他长的也不帅，技术也一般，和张继科差远了 终是没敢问，喜欢谁是每个人的权利啊，实在没必要嘲讽，体育明星总比小鲜肉强吧，虽只是个32强，那也好歹是世界前32啊', ['“不努力能进国家队，能有世界排名？”，这句话，遮王已经告诉你了，可以', '幽默了']]"
3,"因为教练终于发现自己的教学水平之烂了，非常难以接受。

樊振东和张继科，一个天才紫微星，一个英雄真好汉，给他们教练组搞得自我感觉良好，还以为是自己培养得出大满贯。

这下换了个 才发现，之前的大满贯主要是人家自己强，和教练关系真没那么大啊。","['我比较坚定的认为：如果巴奥我是樊振东的场外指导，他同样能拿冠军；如果世界杯我是林诗栋的场外指导，他同样能拿亚军。所以，作为教练，我和王皓的差距是什么？', ['差距是他的IP是北京，我们不是（纯玩笑，无恶意，山东是好地方我爱山东', '有一说一，王皓的场外指导不如lgl。'], '我考不上清华，是因为老师吗？\n不是。\n\n我同桌考上清华，是因为老师吗？\n不是。', ['你考不上清华，是因为老是吗？\n不是！\n你考不上985，是因为老师吗？\n那也不能算是\n可是你连211都没考上，还是集全族之力重点培养的高材生，那就算是你再笨到天上，也不能说你那老师不沾半点责任了', '被硬捧上32的北大清华，举孝廉也不过如此。'], '王皓教练的简历上全是樊振东，把樊振东去掉，啥也不是，我真觉得他做教练的心态也不行，再也没有人在0:2落后安慰他我可以了', ['当时看樊振东说这句话觉得两人关系怪怪的\n为啥是东哥反过来安慰教练？\n难道需要安抚的不是他本人吗', '总有几个这种心态不好的师傅hhhh，之前读研的时候做实验程序跑死了，导师就坐我旁边眉头拧麻花，我就一边调一边跟导师说没事'], 'b站乒乓球up主点评很犀利：1、王皓执导水平不行，关键局关键分他喜欢求稳。在这种拼抢大赛，需要血性和果敢。2、我们的现役国乒教练层，包括那些退役男主播（那些解说主播）太傲慢，解说就听得出来还停留在原来高高在上的心态上，外协敢打敢拼。包括那个梯队建设的功勋教练，讲的话听得出自我感觉依然良好。', ['王皓喜欢求稳所以是三亚的成绩，我们的国乒教练层真的太傲慢了，比如那个侯英超，真的傲慢的不行，还以为金牌是中国手到擒来探囊取物的东西', '你说的是不是老司机 他还说了两王一马开始每代退队，队里都有个大满贯留着兜底，但现在“被自愿”没有了'], '樊振东的教练严格来说是王涛吴敬平', ['吴敬平真的特别厉害', '现在教练看着之前成绩还可以，但是基本都是吃老本，之前好多好教练都被踢出去了，毕竟不是一个利益团队的'], '看看雨果，他的教练资源和训练资源，还有陪练等等，跟国乒比起来可差的不是一点半点。', ['真心不容易，看了他的经历简直励志', '雨果真有天赋，太强了。'], '高中老师教火箭班/加强班的常会有一种错觉，考上清北的学生多是因为他们比教普通班的老师🐮🍺，但实际上那样的班级用条🐶👀看着，结果大差不差。', ['这倒不会，老师跟老师比还是方法不一样的，虽然可能也会考得很好，但是应该就是华五和清北的差距。', '我上高中时, 校长就非常有b数, 直接跟各科老师交待不要管我, 课上睡觉不要打扰, 做其他科的题不要干涉, 作业交不交不要在意. 虽然这么多年来, 我对大部分高中老师的印象不太好, 但对这个校长是一直感激的.'], '也是醉了，乒乓球世界冠军奥运冠军是只要给资源，无论谁都能拿的？不需要天赋，想捧谁冠军就能做到，不知道他们这种认知是怎么来的。', ['天才们给了他们错觉', '他们真的是这样想的'], '虽然教练不能让谁得冠军，但他能让谁肯定不得冠军。这样不就说明教练很重要吗？＠(￣-￣)＠', ['就是啊，否决项难道不重要吗', ''], '张继科199课程的内部直播，讲的有些内容他说国家队也没教过，是他自己悟的', ['炸鸡块确实有天分。', '不是，这我真心动了哈哈']]"
4,"乒协主席换人了，人工授金没意义了。现在回过头去看，教练们那么难以接受，可能是因为世界杯是他们最后的机会了。

教练内心OS：盘外招都用尽了，天时地利人和都有，主场作战，签都做无可做了，最强都被ban了，教练都带了五个，行李都不用你自己拿了，拍子都有专人照看了，场内都是你粉丝，这都赢不了。。。

难以置信，带入教练，我都觉得绝望了。

世乒赛还要做什么才能人工授金成功呢？","['我觉得，最大的乐趣不是比赛，是头的粉丝。\n\n头输了，他们满场喊“你最棒！”\n\n太讽刺了！\n\n如果我跟人家比赛，输了，我的朋友默不作声的陪着我，我会感激他；\n\n如果他安慰我“好好总结教训，下次赢回来”，我会感激他；\n\n如果他跟我说：“你是最棒的！”我估计会觉得这是讽刺我，意思是我尽了最大努力也没办法赢人家。\n\n不知道那些粉丝是真不懂还是假不懂，他们一句句的“你最棒”，比刀子扎心还能让当事人难受——如果当事人有一点点羞耻感，有一点点情商！', ['当事人可不觉得羞耻，当事人很享受呢', '当事人事后还抬头给解释，对面擦网太多'], '人工受精成功的前提是小蝌蚪必须本身强大', ['头倒是挺大的', '错啦，人工授精的前提是蝌蚪正常能存活，属于是矮子里面挑高个，现在差不多就是这样'], '纯就好奇，梁子到底欠了大头多少钱？', ['大头能帮他挣钱，一堆梦女撑着，有商业价值罢了，', '是的，我们这些人只看球不花钱，那些饭圈的可是真金白银去买球票的 咱不是金主就别指望他们在乎了'], '世界杯已经是最水的三大赛了。奥运会四年一次大家都卯足了劲，世乒赛人数多高手全都到了，水昕也就拿了个世界杯。世界杯都拿不到，还指望世乒赛呢', ['先拿到再说，没拿到就不要扯那么多。', '先贷款一个金牌打嘴仗，最后还不上了也无所谓是吧'], '甚至场中暂停，教练的沙发都让出来了，白告自己蹲着在教', ['真的，白告在那里几乎半跪着巴拉巴拉，太子爷喝着水，眼神飘忽，瞟到白告时，也是一副“你是什么东西”的神情', '那个图太搞笑了，我没存。我愿称之为“王”之蔑视'], '把外协的拍子统统踩了', ['踩了也赢不了，毕竟外协的备用拍都是正常备用拍，和32拿着备用拍打不出32强不一样。', '踩了也还是输'], '吸取教训，下次将雨果挪走', ['走爆发进攻路线的，力大砖飞，据说上下限差别会比较大', '球拍抡起来，抡个昏天黑地，抡好了教做人'], '他们明明是博彩的赌注压太大了', ['他们为啥不反着压呢，那样就赚了。', '有统计的，如果国足的所有国际比赛都买输，也是赔钱的博彩这玩意就是赌博，赌博就没有赢家。'], '昨晚准备吃个麦当劳的，一看他的那张脸，默默的出来了。', ['因为他我很久没有光顾麦当劳了😅', '同 看见就没劲吃了'], '要不是刘太胖了，套个头套就亲自上了', ['正吃这饭呢，笑喷了']]"
5,"我都不敢想象32年刘长春要是一个人背着包出去参加奥运

拉爆美德法一众强国夺取短跑冠军

现在他在我国该是个怎么样的圣人地位","['可以参考巴基斯坦奥运标枪王的事迹', ['巴基斯坦那位还有加分项，他那块金牌是死敌阿三唯一的夺金点。', '而且他的标枪还是印度对手送的'], '民族英雄！', ['中国体坛唯一真神', '这个他已经是了，我们不以成败论英雄'], '刘长春那会在船上待了太久，身体不适，且二十多天没办法训练，不然还是有机会进决赛的，他那会在国内的成绩能跑出百米十秒六，应该是亚洲第一', ['当年日本人还想让刘长春用伪满州国的名义参加奥运会，如果不是有实力，日本人也不会盯上他。', '记错了，是百米十秒七'], '可参考新中国第一块世界金牌：容国团。\n\n他的“人生能有几回搏”，可是和孔子孟子孙文教员语录一起上学校标语板的。', ['结局就这个最近知乎还一堆人鼓吹那十年', '当年好多人受难，现在的年轻人基本上只看到好不看到坏，他一定要找出那十年做了多少贡献，但是做了多少贡献也不能改变文革是一场灾难的事实。'], '以前都看我们的运动员物质条件不行努力训练，外国队都是大反派什么条件都比我们好但是意志不如我们，我们运动员努力拼搏战胜外国；现在我们成那个物质上碾压对手，技术上被人碾压的了', ['时移世易喽', '这就是历史的周期律'], '乒乓球没有短跑这么高的社会影响力。', ['那是因为中国运动员没有拿这么多短跑金牌。这不是短跑的问题，是运动员的问题。', '苏炳添进决赛，半决赛986之前商业价值就比乒乓球这些人要高'], '问下巴西雨果', [], '在我心里他一直是个英雄，国家孱弱个人的孤勇就显得更加高贵', [], '我校体育馆命名为刘长春体育馆，应该不会有985把体育馆命名为大头体育馆吧。', ['北大体育馆可改名32体育馆。', '多大仇啊'], '有一本《中国体育人》就是这个剧情，本来NC德国和美国还要抓了他研究超级战士，结果日本人给他注射了毒品，血液不能用', []]"
6,"换张继科3:1领先，对面已经是人机了，心理防线早崩盘了，根本不会抱有还能翻盘的希望。

但是，王大头就能做到，让对面越打越勇!","['张继科曾经就有过经典言论，1:3追回到2:3的时候其实赢面是50:50的，你已经无路可退了，第6局就是你的决胜局了，因为等我追到3:3的时候那我的赢面就是80%了。雨果一定是买了张继科的小课了', ['计划外的大满贯不是闹着玩的', '他在竞技方面没什么可以指摘的'], '换张继科，不只是对方毫无招架之力了，就是1：3他也能翻盘回来。这就是他的风评为什么好转不少的重要原因', ['不止，他有次大赛0:3，对方都到赛点了，央视都掐直播了，愣是打赢了', '王楚钦继续输，他的风评还能更好'], '张继科打球带脑子的，会算对方预判，还敢赌对方预判（当然生活里爱赌不是什么好事了）。另外张继科大赛对自己狠着呢！职业生涯里几次关键转折点，都是自己把握住了。', ['张继科风评不好但是没人质疑他的职业水准，32强就。。。呃。。。啥玩意', '当年那时间有人挖了细节，哪有赌不赌，就是打麻将，那时候张继科不是队内核心，给搞了'], '张都沦落到被拿来和他比了', ['赌啥啊，景甜那个事压根就没一丁点实锤，你还信呢', '戒赌宣传片，445都能和32对比了'], '32一没天赋，二不勤奋，三不谦虚，四无自知之明。也是奇才', ['还丑', '“我不会给你太多次机会，因为一两次就够了，打不出来，我不会再在你身上浪费时间。”'], '张继科1比3也能翻过来', ['让三追四，直接把水谷打孝顺了', '乒乓球没有九局的赛事吧（）0-3翻4-3水谷倒是挺出名的一把'], '张继科风评能转回来，头子得占一半功劳', ['张继科还是党员'], '“14岁小朋友都能做到，我也能！”', [], '张继科艳照那事儿我当时翻遍了所有资源网站都没有找到，除了一些ai和假照', [], '所以竞技体育，归根到底还是拿成绩说话', []]"
7,领导总是想证明自己让谁上谁就能夺冠，但是世界比赛不一样，老外不听你的。,"['我对LGL的看法就是这时候发生改变的。感觉他太狂了，而且对运动员太不尊重了。', ['事实证明那把王炸是老蔡凑出来的，他吃的全是老蔡的老本', '那时候他手里一把王炸，确实怎么打都赢'], '以前的人比较强，让他们有了这个错觉', ['那要感谢马龙，他的超期服役断了很多苗子的路，那就更没有新苗子愿意打乒乓了，断代后拿出来的就是王楚钦这样的了。', '不可能。他只是京队里面资源最多的，放到全国来看并不是。但是其他地方的人没有机会。'], '说你行你就行不行也行\n王：没想到吧', ['我命由我不由天', '破案了，原来这么深刻'], '因为王楚钦让他明白了“我命由天不由他”', ['想拿三大赛冠军，必须问过王楚钦。但是他人很好，全部都同意了', '笑的我哈哈哈哈哈哈，我命由钦不由他'], '该查一查了，王楠她老公俩给国乒发奖金味儿太冲了', ['有种沈万三修城墙的感觉，咋滴，你要代替国家搞激励啊', '记得当初被全网骂得撤了热搜真的就很离谱，这叫公开行贿吗'], '乒乓球迟早步中国足球篮球排球的后尘', ['乒乓球已经大踏步直接越过篮球排球，进入国足状态了', '国家这套训练方法也有点玩不下去了，张继科直播里也说了，他那有一个很有天赋的苗子，后面他的家长还是选择让他走大学这条路了，体育打不打得成成绩，太多不确定性了，现在的孩子有更多的选择，不想以前了。很多家长都会选择更加稳妥的道理。'], '刘狗粮功不可没，绝对有利益相关', [], '其他国家也在进步，其他国家夺冠也挺好的，乒乓球总不能只有我们自己玩。', ['这是一回事吗？外协可以通过努力达到我们的水平或者赢我们，但是我们不能搞双向奔赴吧？国乒水平肉眼可见降低。', '世界在进步，不能只有美国一家独大\n\n美国咋不愿意呢？'], 'LGL的领导头衔被拿了', ['没和李铁住一起', '估计快了'], '最不缺的就是冠军！', ['结果现在出征多哈，5个人凑不出一个世冠。唯一能拿出手的反而是头子的亚运会冠军。']]"
8,"别的我不说

作为纳税人

能不能别浪费我的钱

看我IP

我说的不仅是国家队

还有北京队

我不想我纳的税

浪费在这种人身上

这对我不公平","['用纳税的钱，抢百姓的编制，顶学生的名额，混奥运的金牌。\n\n人生赢家', ['还是全日制', '用纳税的钱，抢百姓的编制，顶学生的名额，混不上奥运的32强。'], '不能。因为你交的税被用到什么地方，你说了并不算。看我IP，跟你一个地方。', ['说真的，纳税人的钱用在改善城市建设上我们没有一点意见，用在这玩意上真是不甘心。', '我甚至宁愿钱花在修路上，对没错，就是好的路打碎重新修'], '北京已经是吃地方红利最大的地方了，我这大人拼命工作，小孩拼命学习，大街上8点就没人了', ['八点，小孩还在学校，家长该加班加班。主要是早上六点又要起来送小孩上学了。', '你们那里不用加班的吗？8点全到家啦？真羡慕～'], '谁说不是呢？当初北京发的奥运会获奖祝贺词，一看就小气扒拉的，连人家樊振东的名字都不写', ['那就不得不提樊振东砍2分难建功，王楚钦力挽狂澜的不要脸的报道了', '鲁能：《难堪大用》'], '他头上的一个小小发带，我卖100斤大米都买不来', [], '不仅是这个ip的养着这群大爷，作为首都，不仅是地方财政养着，还有额外的各种拨款和政策倾斜，那是全国人民在养着的', [], 'Big胆，税都纳完了你竟然还想管怎么花', [], '还要拿你💰买文章夸他厉害呢', [], '就是这样到处收割才有北京的福利啊，只是这次收割没好果子而已。', [], '取之尽锱铢用之如泥沙', []]"
9,"因为他打球顺拐，而且改不过来，上限就被锁死了。

这是雨果淘汰他的最后一个球。

相持阶段越来越差

可以自己体验一下：右手抡圆了往前扇一个大嘴巴，一定是右腿蹬地转腰带动右臂，左腿为支撑腿。左手相反。如果左手发力同时左腿为支撑腿是完全使不上力的，而且非常别扭。骰子哥正是这种发力方式。虽然他预判到了果子哥的球路，但发不上力，回球没有质量。果子哥一开始被动到甚至用双手握拍接了一个球，但骰子哥慢慢的从主动变成被动，最后拉飞了。

他就像一个右改左的人，但没改全，只改了上半身，腰和腿完全没改。所以也别怪骰子哥一旦进入相持阶段就拉，就他这个打法不拉才奇怪。

画上标线会更清楚。

右下的图已经完全不会拉球了

作为对比，我们看看最速大满贯张继科是怎么蹬转支撑的。

右腿蹬转带动右手，左脚支撑

最后放个视频看一下，动起来更别扭。

00:10
顺拐式相持

从别的老哥那儿偷了一张gif。打过球的人都知道，重心必须下压，绝对不能直起来打。但骰子哥呢？因为是顺拐发力，左手向上拉球左脚支撑，右腿必须同时运动用来保持平衡，这就导致身体非常不协调，他不自主的就站直了，于是球就拉飞了。与他形成对比的是莎莎，右手拉球，右脚蹬转跟进，左脚支撑，非常标准的动作。一个反面教材，一个正面教材。

注意骰子身边莎莎的动作，非常标准

还有说他倒地爆冲的。为什么要倒地？步伐基本功不行下肢力量差重心失衡站不住了才会倒地。这也暴露了他另一个致命问题，右腿力量太差了根本支撑不住。这跟他的顺拐互为因果，不好说他是因为顺拐打法所以用不上右腿导致力量差，还是力量差而导致顺拐。总之，他步伐基本功差是一定的。要不是双打有莎莎在旁边给他防一板，他冲完了全台都漏了，接住了就随便打。

00:06
爆冲完了要靠队友防守，而且冲完了再站起来也会来不及调整

还有质疑骰子双打这么打是给莎莎腾地方的，可骰子哥单打双打都是这样倒地的啊！双打要照顾搭档是没错，单打呢？送对手全台空挡是为了照顾对手的心情吗？

00:02
双打有人兜底，单打也这样是什么路子？让全台？","['看来就是假左，之前有几次他接不到球就用右手打回去，当时就有人说他是不是假左。', ['', '确实像是右改左'], '刚看了皮老师的一个动图，顺拐实锤了', ['一个职业运动员能顺拐，简直匪夷所思', '重拳出击.jpg'], '有的人25岁已经大满贯了，有的人25岁已经27岁了', ['哥哥再差也是奥运会32强', '32强呢？'], '我就说怎么看他打正手怎么这么别扭，特别相持两三板之后姿势简直没眼看，原来是顺拐了', ['重心最后要落在对侧脚上，他落在了同侧，可不就是顺拐了？', '我也觉得别扭，但是说不上来为什么'], '他大概率是右改左，很认真观察过他打球外的动作比如收拾衣服毛巾、拿拍套、开箱子和拍套拉链，都是使用右手，这是一种下意识使用主力手的小细节。因为我的爱人是天生左撇子，他在做拿、取、开这些小动作的时候都是无意识使用左手的。我觉得观察细节上区别还是很明显的hhh', ['我就是天生左撇子 硬改的右手吃饭写字 但是生活中的小动作都是习惯左手', '这连我都不如吗 我打架都是出左拳'], '…说真的，好像牛蛙看饿了', ['还是只小儿麻痹娃', '像个蛤蟆'], '不太聪明的样子', ['其实不怪他，主要是教练的责任：\n1，乒乓球人才济济竟然能选材这样的！？\n2，既然选了他，这么大这么明显的问题，教练没发现没矫正？', '顺拐咋矫正，拐着拐着把教练都带顺拐了'], '原来是油改电', ['应该是油改气', '这也行'], '确实每次看就是底盘不稳，就像蛤蟆似的，但就是不知道哪里有问题，你这么一说还真是。', ['也不知道谁说他打球极具观赏性，我看就觉得动作像是盛李豪打羽毛球似的', '盛李豪一个i人就e了这么一次，后悔一辈子哈哈哈哈哈'], '当年我刚和教练学球时，也是这个动作，抡右手动左脚，教练调侃叫“小狗撒尿”。', ['教练这话说的言简意赅', '你别说，很形象']]"
10,"之前教练组以为的：

只要我们教练组这个团队在，就算是赛场上放条狗都能拿下来冠军！

现在教练组意识到了......

强的是张继科马龙樊振东这几个天降紫微星......是有他们在，教练组放条狗他们都能拿冠军.......","['有张继科樊振东马龙在，狗子当教练都能拿冠军', ['马龙不能算，王楚钦走的就是马龙的路，所以他才会说“我和马龙水平差不多”。只是马龙刻苦，所以吃了资源打出来了，27岁拿到了第一个世界冠军。要是放到现在，也早被骂死了', '换哥们去还能给他们点个外卖'], '马龙不算，马龙只能算一流，达不到超一流，实在是当时国外水平只能徘徊在2流罢了', ['他是老太子，也吃了很多资源，跟32不同的是，他打出来了，仅此而已，连快退役的王皓都打不过，还说什么史上第一人，不害臊嘛', '哈哈哈你开心就好，樊振东的教练一开始都进不去奥运村，你怎么不说？老太子一开始战绩跟32不相上下'], '樊振东吃草产奶，马龙吃肉产奶，楚圣吃肉拉稀', ['张继科属于是光合作用了，都被丢省队了硬是能爬回来。', '自带干粮产奶'], '马龙不仅成才晚，而且是输外战最多的主力。如果不是皇族，早就放弃了。', [], '其实马龙还是需要教练场外辅助的', ['韩国釜山输了一局教练组哄半天都不敢上了，最后还不是得靠生病中的樊振东力挽狂澜连胜两局定乾坤！？'], '马龙真不行。刚好那时候老外弱，主要马龙拿下老外，剩下的好说。就这样，他还是很晚拿冠军。', ['那时老外还真不弱，要不说神仙打架的时代，马龙那个时候的问题是大赛心态不行，而且是极其的不行，所以15年夺冠真的给了他底气，也是他的转折点。在此之前，他真的打球硬气不起来', '马龙输外战是最多的'], '夹带私货了吧，紫微星只有樊振东而已', ['许就算了', '张继科许昕呢'], '在知乎你甚至能看到质疑马龙的，打张打樊胜率都是碾压，给樊让了多少个冠军出来了', ['我承认马龙确实很厉害，虽然是老太子，但他刻苦努力把资源都兑现了，但是你用他去对比一个小九岁两个奥运周期不是一代人的队友真是可笑至极！而且还说让了多少，你怎么不说因为他是太子，所以他可以选择性的参赛，伤病能及时医治特权避赛，你们和景媒大量造谣他给樊让拍，让哪门子赛，他只要心怀热爱，永远当打之年，都打到37了，谁有他皇！张继科樊振东受伤了也不给医治，继续拖着打比赛，樊的省队介入都不给走！', '在知乎质疑马龙是政治正确，哪怕马龙根本不是重点也能拐过去'], '有张继科樊振东马龙在，狗子当教练都能拿冠军', ['26岁以前的马龙不行对外协还欠火候，和小太子差不多。', '这个IP罕见。'], '巴黎奥运是退休的吴远程指导，现场的教练席确实是放了条狗', ['三亚现场说的都是废话，有用语句估计一句也没有']]"
