floor_number,comment,replys
1,"原本只是女人撕逼的话题，最多讨论两句小伙子精虫上脑。

官方一进场，怎么着像是拿了武二郎剧本？

通告一出来，还是金瓶梅版。","['喝药了，二郎', ['嫂嫂自重', '通告：潘金莲为二郎的身体健康着想，希望他早日康复'], '武大死前没联系过武松，也没给武松转钱，武大死前还心疼金莲没有自己这个劳动力过得不好，所以经大宋衙门调查武大与金莲为自由恋爱，金莲与西门庆没有私通，武大自己喝下砒霜，系自杀，据调查，武松与武大没有父母，家庭不和，系武大自杀主要原因，武松暴露金莲隐私为重罪', ['武大曾帮武二顶罪，可见武二是在吸武大的血，兄弟之间早没感情了。武大是被原生家庭逼死的。\n武二在武大死后闹，不过是为了炊饼摊子和临街小阁楼，武二是在吃武大人血馒头。', '窦娥突然觉得自己不冤了……'], '因为影响扩大了，官方不得不出手。\n\n这事过于典型，这才扩大了，是胖猫自己本事大：通天代，又纯爱。\n\n其实跟胖猫姐姐关系不大，不是因为她本事大。\n\n官方不敢锤谭竹，一是谭竹只有道德问题，没有法律问题，更主要的是谭竹是女性恋爱收益的代表人物。官方敢锤谭竹的话，那就是断人财路，全国很多女人都要炸锅了。\n\n官方锤胖猫姐姐，是打着反对网暴的旗号，是为了禁言她及其背后的苦于恋爱的那部分男性，让这些男人继续努力干活，拿钱上供。至于其中会有一部分人学日本躺平，那就没办法了，两害相权取其轻吧。\n\n这事根本没有完美的处理结果，是两派利益之争，是存量争夺，怎么可能完美？', ['咋了，不担心我们炸锅？历史真是老一套啊！总想看看忍的极限在哪', '其实抖上很多女性也支持姐姐。'], '最搞笑的是官方公告里那句“你还小也需要用钱，不要转给我那么多”。这句话并不完整。我看过的聊天记录完整版本是“你还小也需要用钱，不要转给我那么多，6w太多了，就给我3w吧”。官方一味说别人侵犯隐私，引导舆论，断章取义，究竟是谁在做啊？', ['6W太多了 给我3W就好 我破防了 哈哈哈 官方真能洗啊', '官方这就是贼喊捉贼。'], '本来就是个痴男怨女的小破事，真搞不懂官方下场污蔑胖猫姐姐力挺谭竹是为了什么', ['巴黎圣母院看过吧，国王是怎么说的，\n“杀光暴民，吊死女巫。”\n在国王眼里，教会的庇护特权也好，女巫也好，通通不是关心的重点，但聚集起来为姐妹发声的暴民，那是一定要铁骑践踏的。', '甚至最开始，这件事就是胖猫姐姐和谭竹两个人吵架'], '确实，事情刚开始时我还给我儿子（12岁）侧面普及下恋爱知识，别像胖猫那样太痴情走极端，至于现在么，我站对的。\n\n努力赚钱，让儿子以后能多个选择。', ['现在最应该给小孩子普及的是，遇上事了找叔叔，亲叔堂叔表叔都是叔叔，千万别找警察叔叔，他们可能会因为你吵闹把你嘴堵上。', '睁眼看世界 东南亚或者北非埃塞尔比亚摩洛哥 都不错 让他学好外语。'], '可惜已经没了武二，只剩下个被封禁的账号，以及一位心碎一地的姐姐', [], '能比，一比潘金莲简直是小天使', [], '绝了……我跟wb上一位用户吵了七八个来回，最后跟我说男女恋爱关系中女的拿男的钱出去找t，因为是同性的所以不算出轨……一句话把我给干沉默了，我败下阵来了兄弟们，我没出息', ['拿彩礼攻击它', '你应该这么想，这些人都这样了，她们说的话无论是什么，也不应该具有实际作用，简单来说就是不让这些人上桌吃饭。'], '毕竟现在上岸的潘金莲太多了，上岸第一剑怎么来的？还不是版本t0整出来的幺蛾子。', []]"
2,说个题外话，我注意到那个因为鞋面反光被诬陷偷拍的追风小叶在坚持上诉，据说已经调解了好几轮。,"['5轮，最近一次调解13个小时！', ['唯一的好消息，这次终于见到污蔑、造谣的女的。', '逆天'], '这个是不是那个扩大影响系男方责任那个？', ['就是他，为了争一口气一直在坚持，第二次工作都辞了', '太不容易了，好像在B站刷到过他，是不是叫追风小叶QQQ？'], '一审调解N多次，二审调解五轮，第一次见到女方，可不可笑。', ['可笑？可悲，可怖！', '昨天看一个律师说，理论上来讲，女方是可以不出现在“自愿的调解”上'], '宁可花大量精力调解 也不愿在证据确凿的情况下直接给两个女⑤定罪', ['一般那些来劝他大度的人都说你闹够了没有？你是不是想出名啊？你是不是个男人啊？为难这么两个女孩子？\n基本上就没人从法律以及社会规范的角度来说这事儿。', '其实这事很简单 本来就是比萨斜塔 两个年轻女性 我的天 保护的好的不行 谁管你下头男'], '他都被女拳冲麻了，什么小肚鸡肠不像个男人都被骂惨了', ['而且还一直有人劝他放弃。\n甚至不能说是劝，而是恐吓的味道。', '有个唱歌的女up帮他说了句话，直接被微博来客定向爆破开除女籍，说都说不得，提都不许提'], '这毕竟是一个男司机被女乘客割喉，警察都能“调解”“谅解”的国度，这种小事，你一个大男人跟小姑娘较什么劲', ['一张无形巨网。', '世界是一个巨大的爱皮堡'], '昨天b站给他充电了，第一次充电，这个真忍不了，二审还五次调解，还13个小时，公开污蔑就不能接受公开道歉', ['b站搜追风小叶，我没关注，每次看到都点赞投币。', '他叫什么，我也去。'], '强烈支持\n最好公布内容\n让大家都 睁眼看世界', ['正面反面的案子，性别反转的案子我们都见过很多了，其实，说句难听点的话，追风小叶已经输了，但如果他放弃的话，会输得更彻底。', '他坚持是他输\n他不坚持就是国男输了'], '真的勇士，致敬，给那些集美颜色看看', ['只能算是防御，根本没有反击。\n饶是如此，已属难得。', '这只是找回公道，还达不到给她们颜色的程度']]"
3,"属于是中国婚恋界的洛水之誓了

从此爱情的神圣性彻底成了笑话","['现在女网友告诉大家，这都是正常恋爱，谭竹没问题。\n\n问题就来了，正常恋爱都这么惨，需要这么多钱，谁还谈恋爱谁就是**。', ['又是反串呢', '官方认证正常恋爱，蓝底的公文。'], '王源演唱会比这狠多了', ['那都是洒洒水，大家以为极个别个例，这个是放弃幻想，准备全量斗争了，你说的只算雪花，这个事件才约等于第一枪', '王源也有话说到。上一次看这么宏大的场面还是在库尔斯克。'], '爱情早就没了神圣性了，在国内真正的爱情很少了，全都是在进行价值交换而已', ['本质上两个人在一起就是价值的交换，爱情不过是对情绪价值交换的描述。', '价值正在归零化。对于信息时代文明，太多满足欲望的手段比一坨肉有趣。'], '爱情有神圣性吗？\n“神圣时刻”倒是挺多的', [], '哈哈，今天也有捞女找我要红包，我可去tm的吧', ['你就问她什么时候上窗？ 她拖延你就含糊。\n不让卡噢，你费那劲干嘛？', '等下。咱俩认识的即便不是同一个捞女，也起码是同一批。'], '爱情从来到人类世界的第一天起就已经是个笑话了，这几十年把这鬼东西神话只是一个历史的偶然。', [], '爱情哪来的神圣性啊', [], '总是说『战报会骗人，战线不会』总是说婚介所女的多，这不是战线，什么时候女的为了能嫁出去，给男的几十万，那才是战线，', [], '不是爱情的神圣性，而是婚姻和爱情的等同性，以及这种等同之下婚姻获得的神圣性', [], '洛水之誓以后封建社会的黑暗森林法则正是开启。', []]"
4,"不是喜欢说“男性不会共情”么？

现在爷们学会了！","['随手截的，甚至没有刻意去找', ['最不出所料的一集', '然而一问到四岁大帝大战三女孩等海量个例的时候，她的反应总是不出所料其实她们也就共情一个群体罢了，剩下两个都是拉上给自己扯大旗的'], '活了这么多年才知道，这个世界的主题是对抗，其次才是建设，不讲对抗的建设者抬头就会发现别人已经住进了自己建设的大房子里，而自己只能听到的时候，再努努力，蛋糕还不够大', ['自己群体的利益自己不去争取，只知道埋头苦干，那最后不只是创造的财富被偷走骗走，屠刀也会降临在你头上。只有斗争，才有和平。', '我们也要有自己的组织，我们也要有自己的男厕所'], '苍天已死，黄天当立', ['没有天庭，也会有地庭、人庭'], '年轻男性群体是历朝历代都严防死守的群体 这个群体还有别称壮丁-民团-好汉-义军等 等 这个他力量 展示的太多了', [], '沸羊羊共情沸羊羊吗', ['对舔狗室友: 君不见宝强胖猫之事乎?', '自杀你要嘲讽 要是把人杀了再自杀你怕是又该骂人反社会了'], '你这话我不喜欢。 男性的共情能力自开天辟地以来都远超女性，而不是刚学会的', ['最初的女权运动很大部分都是男性支持的', '女本位世界里不管男女都更共情女性。'], '请说【集霸】', ['不说不说，就用“爷们”', '说 也门 也门要战斗'], '岂曰无衣？与子同袍，修我矛戟，修我甲兵，与子同行。', [], 'Men help men.', ['你这有点受原子化社会影响了，互助本就是合理且促前进的事情', '胖猫如果自尊自爱自强何至于此，事前防范风险远比事后救助有意义'], '是时候支持废除死刑了。', []]"
6,"1.钱是给女人看的，不是给女人花的。

2.当一个人可以左右你的情绪时，不要犹豫立马删了她。




请各位熟读并背诵这两句话。","['一句话，女的让你感到不舒服，不对劲又一时说不上来时，赶快删。', ['集霸们记住了', '好一个集霸'], '熟读并背诵全文', ['得道高僧了', '童爷教教我吧'], '刚把领导删了，怎么办？', ['孩子，你的评论让这个回答上升到了一个新高度', '先攻，问领导：你怎么把我删了'], '知易行难。而且如果市面上充斥着tz甚至比tz更高段位的捞女，个人态度如何根本毫无意义', ['无数个个人组成了群体，说到底，还不是管不住吊，只有伤痛，一次次的伤害会让人觉醒，新生儿又跟不上，就会形成群体觉醒', '你可以换一个市场试试'], '左右情绪就算了，别左右你储蓄', ['这会不会是个先后关系', '第一：钱不是你想花就能花的\n第二：左右情绪的不是别人，是你自己\n第三：可能别人根本就没把你当回事儿，你自己在这自以为是'], '见你家长可以，见我家长不行。发誓可以，发朋友圈不行。掏心掏肺可以，掏钱不行', [], '男性之友——童锦程', [], '听君一席话，刚把一个女领导和几个女同事都删了', ['如果果断雷厉风行，少年大事可成以。'], '恕我直言，这两句话就和口号一样让人听着爽罢了，毫无现实指导作用，不利于一个人现实“过的舒服”', [], '是让你心中没女人，不是让你身边没女人。爱人先爱己，谋爱先谋生。', []]"
7,所以，我们该给俞敏洪平反了吗？,"['海量个例不断的给他平反呢', ['警惕海量个例影响女性形象', '删了，我发'], '就算说的是真的，俞敏洪就没有错吗', ['第一部，叶问和吃饭的罗师傅打架', '本来就是啊，是真的就代表你可以说了吗？你想当布鲁诺？'], '一直在给他平反啊', [], '俞在我心目中，他是中国最有智慧的企业家。他即是一个企业家，又是一个思想家。', ['凭本事考的北大，近50年最成功的创业者之一。那肯定是顶级思想家', '胡适'], '是复联给他施压的，关我们啥事，我们一直都认为他说的没错', ['就是退一万步讲，资本再罪恶，也比助女驭男的奴隶主强', '他跑去复联道歉关资本什么事？莫名其妙'], '从来没说错过，这不过被压着被迫低头了。', ['兄弟，我也拿这张图当过头像。一看还以为是我自己评论的呢。。', '哈哈哈哈，也许说中了一部分人吧'], '自有源源不断的事实案例给他平反。事实胜于雄辩，他已不证自明。', ['事实胜于雄辩，雌辩胜于一切'], '俞老师没说错什么，何来平反', [], '当天网友就原谅了，是妇女联合会的老鸨们按着头要道歉', ['老鸨'], '这题下同时集中了妈妈，姐姐，女友，三种美好的女性身份', ['经过时间的考验，最后还是血亲靠谱', '没绷住']]"
8,"因为完美受害者出现了，打破了一切幻想的余地。

以前男的反思：

如果当时我有钱一点会不会留住她？

如果当时我体贴一点会不会留住她？

如果当时我对她好一点会不会留住她？

诸如此类……

而这次事件告诉了广大男性：就算你真的完美做到这些了也没用","['不算完美受害者，不过在舔√之道上确实做到了极致\n如果舔√有品质，那么他一定是金色传说\n年轻的舔友们，不妨想一想，你有胖猫能舔吗', ['他至少没有任何，道德上会被谴责为不端的行为', '胖猫打游戏打傻了'], '关键是21岁，年纪轻轻又有挣钱能力，还能吃苦。碾压同龄人。', ['年纪轻轻已经挣了别人十几年都赚不到的钱，我有他一半本事我都不知道我得过得多舒服', '所以很多人感叹在他的""通天代""。一个有能力的人，没有得到应该的结果。'], '只是一拳捶碎了舔狗的幻梦罢了，说句不好听的，你靠砸钱追姑娘?王思聪都得骂你一句煞笔', ['后来小王实践后发现舔狗这条路行不通', '王思聪都曾经是舔狗'], '这几年一直有朋友觉得看清了社会真相，觉得一切都是假的，只有钱才是真的，有钱了就能搞定一切，钱就是万能的。\n\n然而胖猫告诉我们，如果在自我的认知上就是个鶸，哪怕恰好站在了风口，赚到了很多很多的钱，反而会变成餐桌上的肥肉——使他溺毙的不是女人，而是他的童年伤痕。\n\n唯有自强自尊的人，才能摆脱受害者的预设。爱上别人前，请先爱自己。', [], '一拳锤爆反思怪的狗头', [], '放在男生刚认识极品捞女时，才19岁，也就相当于才高考结束一年的男生，对社会的认知，可能就是个小孩水平，过于可惜了', ['沉迷于游戏和游戏代练的小孩，换成我在他的岁数，也还是懵懵懂懂的年纪，太容易被捞女秒杀了'], '之前：反思一下，我tm哪做错了呢？\n之后：反思nm，月薪3800，不当舔狗我随便花，老板，这块牛肉怎么卖的？', ['不光能买牛肉，还能买足疗店vip卡', '我不吃牛肉'], '接盘界的多尔衮，舔狗界的胖猫，都是在历史上留下浓墨重彩的人物了。水浒好就好在投降。胖猫好就好在把自己逼死了。', [], '失去血性，失去一切', [], '我当过一回完美受害者，想走的人留不住，复合后，也许能改变遗憾，但改变不了结局', []]"
9,胖猫事件说明，惠是没有出路的，惠的力度越大，沉没成本越高，对方越有理由把你踢掉。,[]
10,"我觉得大家可能还没意识到一件事，这两天无数争吵，有点类似互相朝天发射子弹。因为有一个问题，明明是最重要的，却从始至终没有正经拿上桌面讨论，那就是

——什么叫“正常恋爱”

你要讨论公平，那么首先要定义什么叫“公平”，呼吁恋爱，自然也要先定义什么叫“正常恋爱”

有句话叫不上秤没四两重,上了秤一千斤打不住，这个问题就是典型的一旦上秤一千斤扛不住的。

因为历史原因我们国家对于男性的塑造是往清教徒圣骑士方向去的，技能点全加在生产力上，不论是恋爱还是情绪价值这些东西，基本没考虑，甚至连校园恋爱都是被禁止的。

所以对当代中国的意识形态领域而言，“正常恋爱”这个概念，一直是缺乏探讨的，体现在现实中就是，前一刻喊你不要早恋，后一刻就让你结婚生子，恋爱这个过程是跳过的。

什么叫正常恋爱？正常的标准是什么？你找不到很明确的规范和参照物。

大众对于什么叫正常恋爱根本没有共识。这应该也是近年来我国男女问题超英赶美的原因之一。

比如最典型的，这两天我看见好多博主说：

不要算账，不要计较金钱，爱情不是算账，要算账就不该来谈恋爱。

恋爱是给正常人谈的，算这么明白的抠门男就不该谈恋爱。

转发非常多，我猜很多人应该都觉得这个发言没有问题，非常客观

但实际上，这个发言有一个潜台词

——“正常恋爱是不该算账的”







问题来了，你认为这个定义对不对？

有人可能要说了，你是现代人吗？这种问题还用讨论？你随便去幼儿园找一个三岁小孩都懂，爱是不该算账的，

自由恋爱无关金钱，爱情就是爱情，不论中国还是欧美，从近代社会以来就有的结论，是现代文明社会不需要讨论的问题。

听起来非常对，不过我有一个小小的问题，欧美有彩礼吗？欧美婚恋有涉及如此高额的男女婚恋转移支付吗？

欧美结婚，不论婚礼还是婚纱，都是女方出钱的，克林顿特朗普乃至英国皇室婚礼也不例外。




​

欧美婚恋习俗是男方用钻戒求婚，所以男方自负钻戒的钱，女方选择婚纱，所以女方自己解决婚纱的钱。

谁使用谁买单，逻辑非常清晰，又没有天价彩礼这种东西，那当然可以说不算账。

欧美所谓的“正常恋爱不算账”其实有一个前提，“正常恋爱也没有彩礼这样的大额支付”

请问你在要求不算账的时候，你也遵守了这一点吗？

你动不动人均收入几十倍的天价彩礼，你凭什么要求别人不算账？

你要让英国人结婚出几百万英镑的彩礼，伦敦小伙们没准算的比你还勤。

你说不可能，你撒谎，伦敦小伙沙特王子们从来不计较金钱，上个月隔壁村还有一个40岁二婚女子遇见了开法拉利的沙特王子找到了真爱。

那么问题来了，遗产协议哪来的？慈善基金这套哪来的？AA制哪来的？婚前财产协议哪来的？国外那么多婚姻律师是系统刷出来的吗？你的发言真的经过大脑了吗？事实是只要涉及大量资金，欧美也会算账，而且比我们算的更专业，人家甚至弄出家族基金托管这一整套流程。你真觉得人家不算账吗？







有人可能要说了，那欧美没彩礼，但日本有彩礼啊？

对啊，日本也有彩礼，所以日本现在友情婚也算账呀。







前段时间日本友情婚的报道，所有媒体目光都聚焦在友情婚让年轻人更轻松上，很多人也开始念经，日本友情婚如何好，但我去翻资料，所谓友情婚让年轻人更轻松的核心并不是所谓友情化的相处模式，而是算账。

友情婚的思路是，结婚前把所有账全部算清楚。​

从家务谁做，到采买谁负责，几百条内容，你能想到的你没能想到的，全部列出来算的清清楚楚。

他们这个计算，甚至会精确到，冰箱储物空间如何分配上。

把账先算清楚了，都没异议了，再开始以婚姻为前提的恋爱。

这才是友情婚的真相。







那老中这边婚恋不算账的思想哪来的？

中国的婚恋不算账，源自从古典时代到计划经济时代，集体主义的生产力分配逻辑。

古典时代嫁鸡随鸡嫁狗随狗，结了婚你人都是我的，男方全力种田，女方做好贤内助，赚的多这么过，赚的少日子也只能这么过，这个情况当然有了男子大度一点别算账的说法，当时的宗族道德，本质也都是在维护这个模式。

到了大工业时代，内卷圣骑士全力爆生产，女性负责保家庭，加上古典时代道德延续，其实是计划经济时代生产力最优解。

为什么要宣传男方为了家庭付出一切勤勤恳恳当老黄牛，干最苦最硬的活，工资全部上交妻子？

为什么要呼吁女同志当好贤内助，避免危险的岗位，矿井等高危岗位不要女性？

因为从集体视角来看，这个结构生产力是最高效的。

所谓不算账，其实是集体主义已经从宏观角度算过一次账了，那个年代又讲究个人服从集体，当然不会提倡个人角度再算一遍账。

男同志让让女同志的思想钢印，就是这里来的。公司单位劝和不劝分，家庭矛盾不出门的思路，也是这里来的。

一句话，什么爱情不爱情的，全给我爆生产力！

但这个模式随着近些年集体主义消亡，个体主义崛起，已经被市场经济掀翻了，女权主义思潮下女性纷纷表示，拒绝标签化不当贤内助，贤惠是骂人的话，什么嫁鸡随鸡嫁狗随狗更是封建糟粕，我们要追求自我离婚自由。

那既然没有贤妻良母，男同志让让女同志的概念自然也不可能继续。

所以事实就是，“正常恋爱不该算账”这个观点并不是独立的，一直是伴随一整套婚恋价值观的。

欧美恋爱不算账，但欧美婚恋也不涉及单方大额金钱转移

日本很明确要算账，只是婚恋前就开始算账，所以婚恋期间你觉得没在算账

中国婚恋个体不算账，背后是计划经济时代集体主义遗留。

以上三个模式不说优劣，但我认可在逻辑方面都能自洽，都形成了权利和义务的一致性。都保证了拿多少钱干多少事的可持续道路。

太阳下是没有新鲜事的，人都是一样的，中国人是人，老外也是人，人活在现实中就是离不开柴米油盐的，从来不存在什么地上天国，大家不算账靠爱发电。你觉得别人不算账，大概率是你压根没懂别人算账模式。


而现在的问题是，以上三个恋爱模式，在当前中国全部不成立，三条腿全断。

当前中国既没有贤妻良母的传统道德约束，

也没有财务独立的西式社会交往习惯，

你还不愿坐下来重新谈恋爱中各自责任

那么伴随着天价彩礼各路情人节买单行为出现的，一定就是大量的算账。

所以很多人感慨，“正常恋爱不该算账”这个观点居然会被质疑的时候，你有没有真正思考过，这个观点在当下也许本来就无法成立？社会是整体的，很多你觉得毫无关系的事物其实是环环相扣的，当你掀翻女性这边贤妻良母的时候，也意味着男性这边，不求回报的老黄牛进入倒计时。

你觉醒我也觉醒，你不被定义我也不被定义，大家都有不被定义的未来。

最终你看见的就是目前这样所有共识全部推翻，所有人开启大混战的局面。

你疑惑大家为什么天天算账天天吵架，为什么不能回归“正常恋爱”。

但实际上，你的“正常恋爱”，和我的“正常恋爱”，压根不是同一个东西。

有人觉得男方一年给女方一年二十万叫正常恋爱，女性就值这个价。

有人觉得男方钱可以少给点，十万就行，但要提供更多情绪价值，这叫正常恋爱

还有人觉得自己月薪三千，只不过要求找一个身高180，上海本地有房有正经工作的男方，叫正常恋爱。

你是不是以为我在夸张？事实是以上三条没有任何夸大，经常上网的人甚至都能猜到我说的案例来源，王婆那边，比这夸张的一抓一大吧。

我已经尽量放的没那么奇葩的案例了，但在你眼里这全是夸张案例。

这就是当前问题，有人觉得五十万花费是正常恋爱，有人觉得经济独立才是正常恋爱。

你觉得大家能讨论出结果吗？







​同样的，算账，


你说算账的就不该恋爱，凭什么？你凭什么定义恋爱？

如果你觉得爱情要纯粹，算账不纯粹，那么讨论家务补偿一年124万的时候你支持算账吗？是都算还是都不算？

严格来说，前两年的反彩礼呼声，已经是前哨战役了，

高额彩礼其实是嫁鸡随鸡的传统秩序支撑的。进了门就是一辈子自家人，这才对冲天价彩礼带来的高额风险。

当你高喊现代社会离婚自由，今天结婚明天离婚正常，那天价彩礼在金融视角上看，风险就高到无法预计了，一定会被反对。

但反对彩礼的呼声并没有落实，那么接下来的战役，必定就是算账战役。

消除天价彩礼没落实，那出了钱肯定要算账，经济学角度看，这几乎是必然的。

你又不肯加强贤惠等婚姻道德，又不愿削减彩礼的婚姻付出，现在有人开始算账了，你还觉得惊奇吗？

要纯粹爱情远离世俗的同志走左边，这边不讲金钱也不要彩礼，

要世俗爱情门当户对的同志走右边，这边不但有彩礼嫁妆，甚至还有婚前财产协议。

这位同学，你怎么又站中间？

是这样的，我既要纯粹爱情，也要世俗彩礼，我要男方情绪价值，但我拒绝女方贤惠的道德绑架，并且我希望对方给完钱后不许算账。如果有人提出质疑，那我就会站在道德高地呼吁这是“正常恋爱”。


快快快，快请您到台上来！

这不是主流价值观缺失的问题，而是这一块主流价值观已经压根没有的问题。

当一个市场连基本共识都没有，那么成交量暴跌就几乎是必然了。







所以，如果有人询问我，当前时代婚恋问题该怎么办，我的答案是

——全盘初始化

既然已经完全不存在共识，那么要么不谈，要么就全盘推到重来的谈，

什么叫“正常恋爱”，什么叫“正常付出”，所以问题一个不漏全都重新讨论一遍。不用觉得害羞，也不用觉得这小题大做，未来这些肯定全都是要重新拿上台面谈的。

至于那些“正常恋爱就不该算账”“正常恋爱就该一年几十万”的，直接叉掉，

女性不被定义，男性也不被定义，既然大家都不被定义，你扯什么淡呢？

人生是你自己的，而不是别人的。","['勇于向女人要钱，向女人要态度是男性必须跨过的一道坎。', ['先不说和女性要钱了，先做好交往之中AA时自己的心里负担，就是一大进步；包括我自己', '兄弟们，真喜欢你的女人看你的眼神是真滴拉丝一样，一般你的要求绝对会满足的'], '其实最差的情况也就牺牲一代罢了，捞女的儿子结婚的时候，捞女婆婆绝不会让另一个捞女上位的', ['有没有一种可能，捞女只惦记你的钱，不可能给你生儿子的', '这么乐观的吗？彭宇案已经过去18年了，怎么算也已经有一代人了吧，到现在影响是逐渐减小么还是根深蒂固？'], '说实话，昨天又回看了下事件的始末，然后又搜了下以恋爱的名义诈骗，以及婚骗；越看tz越像是搞诈骗的，第一次见面带着胖猫妹妹，出事之后说忽见家人；其他还有好多，以各种名义频繁转账刷流水就不提了；反正前后看下来，和诈骗有什么区别？', ['区别还是有的:用真名，单次只谈一个，没有巧立名目骗取他人投资。\n翟欣欣案的先民后刑，足以说明这种事有多难。', '名字真，性别真，年龄真，住址真。甚至花钱都是真。零花钱花了，贷款还了，花店开了，只怕那个疫苗真是口误，打了三针九价。没有前科，没有其它金主大哥。出来个假的被抓了。'], '集体主义给耗材们下的思想钢印太狠了，想转过这个弯来耗费的时间要比西方大得多。', ['但集体主义真有生活保障啊，你市场经济又不给生活保障又玩奉献这套，谁陪你玩啊', '比你预想的要快得多'], '物质进步太快，以至于脑袋还没跟上', ['现在4024年了，还在清朝，勿念', '要是这样的话，入赘也是没问题的。但实际上你去看看那些招女婿的，和正常婚嫁要求差不多，第一次看到的时候惊呆了'], '哥们你说的非常有逻辑，给你点赞，但我觉得她们看不懂。我现在周围不丑的男生都在往炮王的路子上发展，炫耀自己几天上嘴几天上垒，她们其实是自掘坟墓', ['以前这种我骂渣男，现在我会说老哥牛逼，加大力度', '捞女和炮王又不是今天才有，多少年前甚至就有这种专门的收费群。\n如果是自掘坟墓，应该是ta们会引起不支持这套价值观的人警觉，把ta们筛选掉。\n你所谓正常人会更多被同化成（捞女）炮王，不叫自掘坟墓，叫蓬勃发展。\n以及，蓬勃发展的结果是有性魅力的男女吃得越来越好，处女没了，坟墓在哪？不会以为捞女是靠处情捞吧'], '这几天微博有个江西彩礼冤案的，他诉讼时，江西检察官说了，不给彩礼就是强奸。这就是他们认为的正常恋爱。', [], '国男对恋爱的最大误解就是我花钱了，我付出真情就会得到回报。', ['钱是买人的，不是买感情，传统观念还在默默影响着现代男性', '那就等着都AA啦！'], '什么时候能让女性公务员出外勤值夜班，这个观念才算彻底扭转。', ['还有一个，如果拿高温补助，请真正到一线工作，空调26度不算高温。'], '简单来说\n恋爱的时候不算账，\n分手的时候明算帐。\n结婚的时候不算账，\n离婚的时候清下账。\n能从恋爱到结婚到死亡，那这个人就不用算账了，账留给继承人算。\n所以胖猫直接跳过，结婚这一环节，也不算账了。\n剩下的继承人算。不过谭竹不是继承人，差了那么一张结婚证。', []]"
11,苛政猛于虎，捞女猛于055,"['派谭竹们出征世界', ['黑能进 白能进 黄皮不能进', '黄皮？\n黄丁！'], '这梗也就军迷能懂', ['菲律宾男比起055更怕捞女', '简而言之：击沉鹰酱航母有很大概率'], '以前想打到弯弯，现在看来人家不愿回来是不想当胖猫罢了', ['放过湾湾年轻人吧人家台湾没有彩礼，我抖音关注了好几个台湾女生，人家父母都是教育不要花男生钱，收礼物要还，和男生恋爱费用要A，关键的是，人家结婚组成家庭是要两个人一起共同努力养家的，你是台湾年轻人，你看到胖猫事件怕不怕', '原本草莓兵想投降的，发现大陆有谭竹，这下不得不拼死抵抗了。'], '现在还是支持统一，但会\n觉得拉对岸的兄弟进坑有点于心不忍', ['对面支持lgbt合法的，彩虹拳威力也够哈人的', '你这么仁慈，小心变成舔狗'], '055可以不战而屈人之兵，中国捞女能让敌人誓死抵抗到一兵一卒', [], '055可以干沉航母，捞女会请航母干翻她的国家', [], '派谭某担当台湾省妇联主席', [], '确实，港澳台东南亚乃欧美澳洲至中东的好多ip都在抖音喷捞女TZ,你要说他们不怕，我是不信的', [], '我不是军迷我也懂', [], '谭竹一人，相当于给对岸增加了三个师。输麻了', []]"
