floor_number,comment,replys
1,"强行把自己的同胞划分成了最低等的，白皮是洋大人黑皮也是洋大人，现在连巴基斯坦都是洋大人了。

插一条之前的新闻，最后的解决方案是警方没有找到此人

美国黑人男子上海商场辱骂中国店员：我美国人想骂就骂！警方介入 https://baijiahao.baidu.com/s?id=1677865970433109023&wfr=spider&for=pc&searchword=%E4%B8%8A%E6%B5%B7%E9%BB%91%E4%BA%BA%20%E8%BE%B1%E9%AA%82&sShare=2","['同志大于同胞，你以为左派说这句话是在跟你开玩笑？', ['一个信安拉和信马克思的也是同志', '四教同源'], '中国人去外国：遵守当地法律法规，尊重当地风俗习惯---被外国人歧视\n外国人来中国了：中国人尊重外国人的不同国家、民族，由于不同的历史、宗教等因素，各有特殊的风俗习惯和礼节，均应予以尊重。---还被外国人歧视。\n我们的文化是不是有问题？', ['窝里横文化', '上梁不正下梁歪，你去找那群肉食者，不要总挑老百姓的毛病。'], '实际上当前国人看样人的眼光，仍和100年前差不多。你不信如果这次打人的是美国留学生你再看。', ['100年前只跪列强，啥时候跪过不入流的小邦', '很多人只是被内宣的宏大叙事洗脑了'], '黑哥们都是，何况巴基斯坦', [], '在我们知道这件事的时候第一时间买了人参燕窝去看望了留学生，并认真聆听吸取巴基斯坦大使馆对我们工作的指导意见，对巴基斯坦留学生被日本学生无辜挑衅殴打做出赔礼道歉，我们一定严加处理日本学生，我保证加强留学生校园安保工作，另外盖一座宿舍提示日本学生禁止入内的标语，嗨，私密马赛，嗨嗨，私密马赛，阿里嘎多。', [], '还吹巴铁？吹了几十年了。', [], '开战了还等着你们去填线呢', [], '就是普通的打架斗殴，吃亏的一方把事件上升到国家民族层面。', ['官方是按普通的打架来公正处理的?', '1P太正确了'], '巴基斯坦也是洋人。', [], '国内的没统战价值', []]"
2,"在中国人民的土地上，被一群外国人群殴，且看最后能有什么处理结果。

附录：2018年10月3日，广东陆丰王嘉禧在帮自己姐姐的火锅店协调停车，这时两名男子单纯看不惯这个少年，没有任何冲突理由，就开始殴打这名少年。

少年被两名男子打的口吐鲜血，当场半身不遂，事后造成左侧偏瘫，后经救治无好转，于2020年6月离世，年仅27岁。

据王女士介绍，事发次日，监控设备被派出所取走，送回时监控视频消失。弟弟死后四年，死因被官方修改，理由是“看错了”。而打人者之一系时任当地派出所所长胡某波的堂侄。

2022年，陆丰检察院对两名施暴者因构成寻衅滋事罪均被判处一年零六个月的有期徒刑。王女士及家属对判决结果无法接受。4月25日该案将在陆河县人民法院异地重审。","['异地重审，初审的人要被问责了', ['问啥责？能双开吗？还是停职？', '那得看他得罪的人多不多了'], '还是那句话，鼓励刀拿在自己手里。鼓励手里有刀。', ['勇于公斗，怯于私斗本来就是不现实的', '在自己的土地上被人群殴 看来江西理工男人都没什么血性了'], '所以执行低人权政策的时候确实爽，但打起仗来就别怪汉奸多', ['工具论。现代的民族主义或者说国族主义都强调了爱国，这样做的好处是什么？动员成本低。宣传国家国家，家有难了自然要冲上去。既然是这么宣传的，那就得给一些实质性的保障，无论是对外要强硬，对内要施恩，都要做。如果做不到，现实和宣传就出矛盾了，人心向背不言而喻。简单来说，既不能让人填线，又把人当成工具，甘蔗没有两头甜', '当年小胡子可是实打实的给到德国人权益的'], '第一句话就错了，\n\n这是中国人民的土地，\n\n不是中国人的土地。', ['这是汉人的土地，谢谢。', '反正不是满人的'], '', ['监控被删，伤残鉴定为轻微伤，凶手判个一年多点的有期，这派出所所长的能量不低。也就孙小果能比了。', '对了，好像一审是有自首情节免起诉，二审判了还不到一年。'], '重审的结果是啥？', ['现在没有结果，', '视频删了'], '', ['一片祥和', '……友邦，……家奴'], '越是乡下就这样子，', ['都一样的，只不过大城市人多，落到你头上概率小', '只是乡下？'], '投资不过山。。。韶关！', ['哈哈哈', '镇南关'], '宗族势力早该清洗了', ['那宗教势力就来咯', '那穆斯林就来 了']]"
3,"我实在是不理解，为什么生产力最强、精力最旺盛的青年男性，会是最没统战价值的人呢？

我不会删除任何评论","['因为统战价值不是看你能创造什么，而是看你能破坏什么', ['西方的teenage就有巨高统战价值，政府动不动发这发那，因为他真的会打砸抢烧，抢劫杀人都不在少数', '外事无小事地方官就怕这个'], '不统战都会听话，还统站干嘛', ['崖山之后，山海关之后，三大战。。', '还真是，如果像古中国人一样有恩必还有仇必报，天天对…进行独狼式袭击'], '因为每天意淫国际政治完全不在乎现实利益啊', ['你这话说的很多人不爱听了', ''], '这就是品客不能逻辑自洽的地方，说起经书上的东西头头是道，放道自己身上就整不会了。', ['田目是个框，啥都往里装', '一般来说 ，喜欢自由的人，是有一定认识水平的，不太会出现逻辑不自洽的情况。通常只有没脑子的人才喜欢被管。'], '青年里粉红太多，根本用不完', ['嗯，这才是主要问题', '上一年班就不会红了'], '因为有人要踩在你头上，为了让你老实，就要正值上打压，道德上矮化，经济上压榨。让你不仅困苦，还抬不起头来。白左也是这么修理白人主体民族的，黑命贵，你对不起黑人你得给黑人跪下，你对不起印第安人，你得给印第安人跪下，你对不起女人，你得给女人跪下，你对不起。。。', ['它们好像一般不提印第安人', '印第安人聚居区在美国属于特殊地区，FBI去查案都要经过当地印第安领袖的同意。'], '不要当老实人就对了，要会团结会反抗，方法经验老革命家都打样了你们不学的吗？', ['靠这招起家的能不知道这招的威力吗，就是因为真的有用，所以不让大家学', '时代不一样了。现在科技时代，聚餐都难'], '唯一能为你争取利益的所谓打架“垃圾人”被你们边缘化了，都温顺的要命，自然裁判肆无忌惮', ['有些后悔批判他们了', '主要还是没组织，没办法抱团争取利益'], '因为这个社会赚钱能力不重要，重要的是能守护钱并为自己所用能力，就像你养了一只狗，这个狗每天能赚几百几千的钱，但是这个狗要把所有赚的钱上交给你，难道你会注重这个狗，根本就不会，甚至第二天就因为你想吃狗肉就可能把这狗炖了吃掉。所以说赚钱能力不重要，重要的是守护钱的能力。', ['抢钱的能力才是最重要的'], '冷眼旁观最好了，不要整天跟着指挥棒赢赢赢。你还能做的一件事，就是不要捧臭脚。', ['']]"
4,"历史传统：

1961年，索马里留学生要求中方开放保密的军事，航空专业。并且要求中方给与留学生更多的补助（当时黑人留学生的补助是每月60元，相当于当时国内一个团级干部月工资）。同时，校方不得干涉留学生在校内谈恋爱。在以上条件之上，他们还提出，要求每年寒暑假回两次国，往返费用都由中方承担。

由于我方拒绝了黑人留学生的无理要求。黑人留学生对于中国的态度感到不满，于是爆发了留学生抗议事件这件事在国际上造成了非常恶劣的影响。最后，就连法国媒体也看不下去了，在报纸上发表文章，反对黑人留学生的无理取闹。最后，我方开除了大多数留学生，只留下少数坦桑尼亚留学生继续学习铁路专业。

1962年，桑给巴尔留学生，与中国供销社员工发生斗殴，起因是桑给巴尔留学生利用自己的身份倒卖香烟。

1973年，加纳两名留学生，利用糖果，零食，诱奸了两名西安未成年女孩，此事造成了极恶劣的影响。此后，我们断绝了与加纳学习交流途径很多年。

1979年，上海纺织工学院有爆发了黑人留学生与本校学生冲突。起因是留学生在夜间喧哗，影响本校学生学习休息。此事甚至惊动一时。多国外交使团来到上纺院看望本国学生。

1988年南京河海大学，爆发了与留学生的冲突，起因是两名黑人留学生在校外招嫖，并且要带校外两名卖淫女进入学校，遭到保安阻拦，被阻拦后，黑人留学生与保安发生口角后上升到冲突。事态逐渐失控，大量的留学生与中国师生发生了互殴。

慈禧和蒋介石都笑了。

国内可能对留学有什么误解——留学指的是本国的教育、科技发达，吸引别国人才前来学习。而非政治作秀，求人家过来提高自己的含金量。

清华大学、北京大学、浙江大学在计算机、物理、大数据等方面已经是世界闻名了，中国不再是曾经那个教育弱国了（某种意义上），就不能硬气一点，正常收取学费吗？

美国都知道各种找茬，没收留学生的签证，这种打人事件，驱逐两个留学生很难么？

日本最高规格的MEXT奖学金，也不过免除学费加每个月五千多人民币的补助。在中国这种低物价的国家，黑人留学生免费上学，每年还能拿十几二十万的补助，宿舍比博士生规格还高，这哪是留学来了，这是赚钱来了。

经典笑话：

一个亿和清华大学，你选哪个？

答：一个亿。先用三十万加入非洲国籍，然后免试上清华，一分钱学费不用交，每年还有十万块的津贴可以拿。","['统战价值，懂?', ['别尬黑，满清只送过留学生去美国德国日本吧，再说了，那时候印度巴基斯坦都是英国殖民地，非洲更是一块都不剩全是欧洲人的殖民地。', '我是不信鞑清会让人跪暹罗王'], '61年国内还大规模饿肚子呢', ['老一辈很多个子不高，其实都是长身体的时候硬饿的', '我小的时候我家里偶尔会买那个猪筒骨熬汤说给我补身体，以后长得高，虽然心里很感动，但是当时的我就知道就那个频次是根本不可能有效果的还好现在已经彻底摆烂了，不会因为身高之类的自卑了'], '非洲留学生生活费原本是每月80元，后增加到100元。而同时本国大学生10元', ['10倍 勿忘国耻', '现在本国汉族给多少呢'], '还有阿尔巴尼亚留学生，每月生活费150元', ['15倍 铭记血仇', '不好意思，智人和直立人物种有别'], '其本质还是媚欧美', ['一样有，类似破事你搜一下也是有的。反正这种政策弄过来的大概率不是正经人。\n\n不过白人更多的是跑来做外教，甚至出现过雇佣杀人犯和强奸犯的事', '不，关键是考核标准，只要考核还认可补贴给留学生这件事，这些事就会不断发生'], '没办法，谁叫他们身后有我们强大的祖国呢', ['你说的我们里，有我么？', '你交不交税吧'], '以前售货员真猛，不仅殴打国内顾客，连国外顾客都打', ['基层群众比外交官有骨气多了', '群众？那会儿的供销社员工可不是群众'], '量中华之物力，结与国之欢心嘛，又没说是哪个国，真凭中国大学本身的吸引力，那确实狗都不来', [], '国内大学还指望留学生刷一下国际化水平提升排名呢', ['刷了个寂寞，就那些普通的一本二本，花重金弄来一群垃圾留学生，qs、us news排名照样几百上千。排名就不是这些普通学校需要考虑的。', '自娱自乐。'], '让我想起网上某个黑人留学生拿着我们给的钱完成了十几国家的旅游', []]"
5,"外国“友人”

巴“铁”

这种纯低能叙事能不能停了？",[]
6,"本回答不针对巴基斯坦人，而针对一些“前恭而后倨”的外国人

真人真事，我23年认识了一个巴基斯坦在湖北某地级市留学生，我们加了微信，也在电报上聊的特别欢，他邀请我进入了一个中文学习群，群里有很多不同国家的对中文感兴趣的人（加上我有几个中国人）一般来说，学习中文的人，在初期起码对中国有基本的了解或者说对我们文化感兴趣，不会说上来就以人上人的身份自居。但是我发现群里中文学习者有个特点:

——群里没来过中国/即将要来中国读书的外国人，对我们很友好＋一些好奇，对中国社会发展很羡慕，对国人很尊敬。

——反倒是那些，已经到中国上学/在中国已经工作的人，总一副“老子就是爷”的样子，那会我刚上大学，侧底感受到了这种人对人的优越感，说高高在上是毫不为过。

我当时真不理解，哪怕是街边两个陌生人刚搭话，他们之间也不能突然就产生了轻视和瞧不起吧。

后来和小巴同学玩久了，我知道了，他在他们国内平平无奇，来到咱们国内后（当时他在一个大专）可以说是一等人，舔他的女孩不缺，奖学金也不缺。

大家可以试想一下，一个地位极度低下的人，来到了他梦寐以求的强国大国（至少比他的国家强很多），突然他发现，这里的所有人所有制度所有资源都优先供给他，与此同时，社会上遇见的所有中国人对他极度友好，仅仅是因为他有个外国脸。——试问，这个人会怎么做？他必然飘了。飘到了国人的头上，比人上人还要人上人

我们的社会风气真不知道怎么了！！物质上站起来了，说精神上是跪着的一点不夸张

我不针对巴基斯坦的外籍学生，但一些外国人这种“前恭而后倨”的模样
背后的原因值得深思

友好的、高素质的、平等待人的外国人我可以把他们当友人，但那些两面三刀的、靠着我们吃流量饭的、高高在上的外国佬，诸如李美越、王中叙、伏拉夫等等，我希望他们滚。","['你想怪谁？反正不能怪我，我不属于那一亿', ['没办法，也不能怪我。我从不跪舔洋人', '属于国内沿海新自外贸利益集团，他们极度亲外'], '作为一个在海外读书的人，我很不屑某些国人对外国人的“热情”', ['都是一群🪂🧊', '只要说一句我爱中国都能有1000万粉丝，你就说这钱好不好拿。'], '物必先腐而后虫生，人必自贱而后受辱。', ['广西老表有文化', '我们能让我们自己的膝盖不下跪，但是有些人的膝盖就是硬不起来，除了骂一骂这些人，还能怎么样呢'], '前几年在河北邯郸河北工程大学，有个小巴留学生性骚扰中国女同学，报警后直接开除学籍行政拘留驱逐出境三连击', ['为河北点赞！', '燕赵之地，英雄辈出'], '一年前有个事巴基斯坦还是印度的学生在吉尔吉斯斯坦和当地人发生冲突当时好像外籍学生在斗殴过程中占上风了但是随后消息被人发到网上中亚那边民族主义盛行一下子上千人走上街 包围学校 路上见到南亚长相的就暴打还喊话学校让把外籍生交出来给他们处置最后好像是正负出面把他们送回国的', ['中国人要是有这劲就厉害了', '游行示威是违法行为。'], '对于印度巴基斯塔人普通老百姓肯定不会舔，毕竟不是什么发达国家的人，舔的肯定是官方和有利益驱使的组织。', ['官方把他们送进大学，给了“高端人才”的身份，又给了高额补贴，让他们生活优渥，出手阔绰。不明真相群众群众一看还以为是是外国的权贵土豪家的公子哥来留学了。其实人家在老家说不定就一放羊的。', '普通人一样舔，西瓜上有个巴基斯坦人拍自己去小店吃饭，男老板一听是巴基斯坦人激动的恨不得把房子卖了供他。就是随便吃不要钱。无数家店，一开始评论还是中巴友好，后来他天天免费吃，下面的评论业慢慢变了，说怎么天天不给钱，中国的底层，和高层，是最媚外的两个群体。只是高层不拿自己钱倒贴。底层是真的拿命倒贴。倒贴的莫名其妙。'], '这件事加上大同估计六代机新闻刷十遍也缓不过来', ['这些事看似矛盾，但背后的根源逻辑是一致的，就是好面子', '确实...看完这个看热榜，一点兴趣都提不起来'], '那怎么办，到底谁是骨头软舔外国人', ['“莫让友邦惊诧！”', '涉外无小事'], '很多亚非拉穷国的屌丝，在他们自己国家饭都吃不饱。到了中国不但住宿，学费全免，这些中国大学每个月还要给他3000块生活费。这3000块钱生活费在中国的大学食堂里面花不了多少钱，他每个月还有钱寄回家，然后这些大学还各方面照顾他，掐媚他，甚至给他配异性学伴。这相当于就是他们自己国家的王公贵族的待遇，你想一下他能不飘吗？', ['必定崇洋媚外是国策'], '层主说的太好了，B站看过几个up就是\n阿富汗和黑非洲垃圾国家的留学生\n来之前真的是感觉他们非常仰慕的心态过来\n然后过来一段时间后再看\n明显就变了\n就是那种阿富汗人变美国富豪的感觉\n你懂的\n从仰视变俯视了……', ['就是这样。咱们社会这种对待老外的方式有大问题', '记不清楚了，是资助阿富汗和西非学生上学学中文然后来中国留学的，前后连起来看，变化太大了']]"
7,这副画比乌合麒麟的新作如何？,"['不对，应该体现这桌菜都是右下角小孩996赚钱买的做的', ['有理有据', '还是你懂'], '弩力怎么敢直视竹子的？还没被驯服啊', ['想起一句话：这环境还能做兔友的也是神人了', '起码明白回来味了，还有些人搁那参赞印巴冲突呢，也是不错，起码大战总得有炮灰'], '那个四等娃不应该在干活吗，为人民服务啊，四等人为人民服务。他们是人民，四等人不是', ['不是五等吗 四等是有法抗的那个性别', '扎我心上了，一不小心又降了一等，锅从天上来'], '转发这图废了我一微博号', ['', '不会吧号没了？'], '', ['不相信的话可以去郑大一附院看看，还有多少同胞在受苦。但郑州方面还在接待外国友人', '与此同时多少平民百姓看不起病，至少在这中原土地上己见过无数人的悲欢离合，家破人亡。逆天程度甚于欧美白左'], '黑哥：老乡们都来，中国女人不要我们的彩礼，连婚礼都不需要！', ['是倒给孟加拉一米六巨汉三十万的'], '中国人去外国：遵守当地法律法规，尊重当地风俗习惯---被外国人歧视\n外国人来中国了：中国人尊重外国人的不同国家、民族，由于不同的历史、宗教等因素，各有特殊的风俗习惯和礼节，均应予以尊重。---还被外国人歧视。\n我们的文化是不是有问题？', ['明显不是文化的问题。', '早就觉得了'], '', ['啊，这，我的语言比较贫乏，谁能准确描述下', '南山南，北风吹。'], '小孩为什么不去打工', [], '差个红领巾', []]"
8,你都很难说主流国家里谁最歧视华人,"['大家都歧视，那不就等于都不歧视了。', ['满昏', '平等的歧视'], '不用很难说白左势力不会搞歧视，而有一个国家没有这种势力', ['白左对于其他族裔算是挺友善的', ''], '世界公认：汉人最底', [], '五常反华排名：＿＿＞俄＞美英法', [], '华人？不知道。汉人，男性，这个知道。', [], '当然是全世界华裔细分法案最健全的地方了', [], '俄罗斯呗，还能是谁', ['南罗斯'], '中国啊，谁不知道中国最歧视中国人。', [], '越了解的越歧视', [], '东大', []]"
9,"说大学生胆小的，他们怕的是阿三吗？怕的是没毕业证。

这个毕业证关系的不止大学四年，还有前面十二年的苦读，加上大学一共十六年，一拳十六年的努力报废，谁也受不了，谁都要权衡。

出手了就高中白坐三年牢，父母，亲戚的压力，生存的困难，这些东西压得太死了。","['读书人最怕被革了功名，全国几千万读书人，控制起来简直不要太容易，只要把所有可能逾矩的事情和功名挂钩就行了。毕竟高科技时代，出不了什么黄巢蓝巢的', ['那就让你以为自己有资格，就像在驴的前面挂个萝卜，跟你说只要努力就一定能吃到', '那如果没有考取功名的资格呢'], '懂了 用极高的沉没成本换取默不作声 乖乖的受压迫 我只能说 系统性的压迫是最可怕的 从小学习不惹事，但是，正如国内学啥学一半的传统，后面那句不怕事是一点没学会', ['这还真不是沉没成本，是相关成本', '主要学历还没用'], '如果敢取消毕业证就变身杨佳找校领导，你看还有领导敢吗。还是自己怂，别骗自己。', ['杨佳之所以是杨佳，就是因为不是所有人都是杨佳。绝大多数做题家功名都压得死死的，连顶嘴都不敢，更别说开刀战房匹配校长了', '那还是怂啊，既然做了，就把事做绝呗，说的和这帮当官的都是孤家寡人一样'], '江西大学生怕的不是毕业证，是你背后强大的祖国', [], '90年车匪路霸的时候，车里都有牌子，抓到或者杀死抢车的劫匪无罪，然后你就看吧，人人都撸胳膊挽袖子，如果一个案件，围观学生出手群殴外国人被判无罪，算了也就只能想想吧', ['就是这个思路了，谁对谁错不重要，谁受委屈也不重要，重要的是不要乱。这种指导思想下，自然谁好管就管谁。'], '喊乌合麒麟画一个', ['就不跪'], '学生都有软肋', [], '这时候就需要有人出来大喊一句，国家养士50年，仗节死义，就在今日', ['然后帮着巴基斯坦的一起。。。'], '教育都成庞氏骗局了，即使拿了毕业证又能这样？这种没有强势行业背景的双非一本院校，毕业证跟垃圾没什么区别。', ['还不如大专狠狠玩', '可你如果没有学位，连当垃圾的资格都没有啊'], '来自巴基斯坦的怎么不怕', ['人家背后有强大的祖国', '真要是你说的这些人，不会去这个学校']]"
10,"“特兰诺瓦号”事件（1821年）

背景：美国商船“特兰诺瓦号”水手与中国渔民发生冲突，一名水手打死一名中国妇女后逃逸。

处理：清朝两广总督阮元坚持要求引渡凶手，但美国领事拒绝。清廷最终逮捕并绞死了一名无辜的美国水手，以儆效尤。

不是chatgpt说的，是国产ai之光deepseek说的。","['清朝至少是真的打不过才跪下的，骨子里还是认为自己是婆罗门，没有这种达特利思维', ['清政府最多只是向英美法德这样的西方列强下跪，啥时候跪过南亚人和黑叔叔', '清朝也不是谁都跪，治外法权那一套学会之后在朝鲜那可是玩的飞起，（收拾不了西洋鬼子我还收拾不了你？）'], '在鸦片战争期间，阮元仍向两江总督爱新觉罗·伊里布提出了抵抗英国侵略的建议。为抵御英军，他也捐制钱一千缗，以助国用。\n可以说非常硬了', [], '绞死的就是凶手，美国人最开始是准备赔钱赎罪的，而不是像教育部 外交部和学校给疤贴钱', ['杀人得偿命吧，用无辜者代替杀人者送命我会觉得很难受', '你的意思是只要巴铁不把人打死都应该给他送钱只有把人打死了才应该要他赔钱了事？'], '清朝以天朝上国自诩，视外国人全为蛮夷，自然不会产生媚外的现象', ['打不过是打不过，崇洋媚外是崇洋媚外，把这两搞清楚了', '据我所了解，英军从虎门到广州到厦门到镇海，都是摧枯拉朽的胜利，不知道你的世界线是不是和我不一样'], '大清有两大长处:一是文网松弛，二是汉人地位高', ['优点全靠对比是吧', '三等吧，满蒙汉'], '晚清好说歹说也是打不过才屈服，况且晚清也看不起那些小国家。', ['晚清再怎么晚也不至于玩使臣给泰王下跪的花样', '鞑清岂止看不起小国，当时的日不落，人家依然看不上'], '大清，原名大清固伦，满语是战士之国，虽然薛定谔了一点，但是有时候还能起作用。', ['是蒙古语'], '清朝是真的因为打不过才跪下的啊', [], '宋朝喊了300年的收复燕云16州，至少确实打过，虽然失败了', ['大的战役就打了三次，都失败了'], '我看成了瓦罗兰特', ['go学长这招太阴了']]"
