floor_number,comment,replys
1,"垃圾堆水平

总统是政治素人，用纽约黑手党的套路来搞政治

国防部长是连长，主持人 ，不知东盟为何物

教育部长是高中生，把AI说成是A1

卫生部长认为疫苗是骗局

住房部长专业是演说学与传播学，例会前带头祈祷，差点把总统说成是上帝的二儿子

劳工部长是个老板

……

安全部长，以前是个小家庭农场主的老婆，因为长得漂亮，参加农妇选美拿到冠军，被象党选择去大学函授拿到本科，走上仕途，此人年轻时考驾照六年不过，因为笔试通不过……




就这？","['众正盈朝啊[惊喜]', ['野无遗贤啊[惊喜]', '群贤毕至[机智]'], '能凑齐这么多的卧龙凤雏也实属不易~', ['考虑到美国的文盲率，其实也不太难[捂脸]', '特朗普的基本盘是反智派MAGA，我们这里“知识越多越反动”是断章取义的，但是在他们那里知识越多那就是民主党反动派啊'], '纠正一下，美国防部长以前在军队最高只干过排长虽然区别也不大', ['这下真五星上将詹姆斯下士了', '在国民警卫队的当排长，正规军里是下士。'], '安全部长的包被偷了', ['抽象的老美', '够安全'], '“读者”说美国民主制度完善，一条狗坐上去都可以完美运行....所以现在民主福报来了，看看后面情况', ['说的一条狗，不是一群狗', '制度设计的时候没考虑到一条狗当了总统以后会把他的朋友们叫进白宫吗？'], '辱黑手党了，黑手党开会之后制定的规矩不会第二天就推翻', ['黑手党的条件还没懂王的那么夸张，主要黑手党现金流好 手里不缺钱 没有美国那么急', '黑手党现在极度缺人和缺钱，已经被意大利打击得够呛咯'], '安全部长刚刚在特工护卫下钱包被偷了（里面有她的安全通行证和公寓钥匙）', ['确实安全', '只丢了东西，人没事'], '诺姆是真的可以，50多岁了还能这颜值', ['', ''], '二儿子不是洪秀全吗', ['没毛病，特朗普是洪秀全转世就全说通了。', '天王会心一笑'], '大哥\n纽约黑手党的老大叫查理·卢西安诺\n人家是开过全美黑手党大会的人，他的政治水平很高的\n查理·卢西安诺的副手叫梅耶·兰司基，他干买卖古巴总统的生意\n这两人可不是什么政治素人\n对了\n查理·卢西安诺的私酒生意的伙伴叫约瑟夫·肯尼迪，他儿子就是美乐宗。\n黑手党一直都是走政治路线的黑帮。', ['黑手党更类似大英帝国，懂王更像强盗劫匪']]"
2,"在一辆以150码的速度下坡且没有刹车的车上，不管是打开雨刮，打开转向灯，还是播放音乐，都没有什么区别

特朗普就不一样了，他选择了把油门踩进邮箱","['万一飞起来呢', ['出院！', '射向太阳🌞'], '唔。。。通过撞上路边的邮箱让车子停下也不失为一个好办法。车子的其余部分和乘客的零碎们怎么样了？', ['就问你停没停吧', '有没有一种可能，答主是打错字了'], '', ['我想，你说的可能是刹车', '这句刹车是Bernard的每日辞职小技巧啦'], '原以为任期四年里做完的事，他四个月不到就超额完成了，后面这三年多真的很期待啊', ['我愿成之为高效！', '跟了川普四个月比跟老登四年都快活还有什么活都端上来罢'], '这样走的时候不痛苦瞬间就完蛋', ['你就说，我勇不勇吧～'], '这就是我喜欢懂王的原因', [], '而且还是站起来踩！', [], '都已经150码了再快个一百二百的有区别吗', ['有，150会翻车，350能起飞', '速度大点没事\n下降率太高了'], '别人怎么想我不管 这样我会比较安详', [], '早想过特朗普当选后会有花活，但没想过这么花。第一任的时候没这么抽象，这四年他到底经历了什么。', ['第一届不是他自己的水平而是共和党建制派的，这届把建制派全踢了用一堆精神小伙然后一下就暴露水平了，类似少帝把张居正这样的辅政大臣踢了自己干然后翻大车', '都是花活，完全没有民主党下死手那种操作。\n\n这些花活看着呜呜咋咋，实际连翻脸都没做到。\n\n川普表面上整合了两院、最高法，横扫摇摆州，是少有的以最大权力、超高支持率开局的总统，实际上枪杆子（军、警、特）一个都没握住。\n\n你说他傻吧，没握住枪杆子除了整点动静大的花活还能干啥，他精明着呢。\n\n你说他聪明吧，这种整花活的日子过一天少一天，反扑的日子可不静好。\n\n\n\n\n所以你说的对，欸，就是抽象。']]"
3,"我觉得很多人真的都低估了一个人到了七十多岁快八十岁这个年龄之后，性格里面偏信、执拗、固执等缺点因为大脑、身体机能的衰退而凸显出来，日常行为表现会有多让人抓狂。

拜登是1942年的，懂王是1946，79岁了。

拜登上台做总统的时候跟现在的懂王几乎是同岁，然后在任四年，所表现出来的“老人”的特性是sleepy joe，行为、语言能力下降，记忆力下降，甚至被怀疑大小便失禁。

懂王只不过是表现了“老人”特征的另外一面，偏信、执拗、固执……他认定了的事，谁劝都不好使，就算撞得满头包也是别人没有执行好他的方案，他怎么会错…

所以现在围绕在懂王周围的，就是一群特别会哄老头开心的孝子贤孙，他们只是想看到老人家露出慈祥的笑容，他们有什么错……","['但是拜登一卸任，你说的这些症状都消失了…', ['年纪大了有人只是蓝条回得慢 但是回满了还是可以精神抖擞', '拜登的身体恶化也不是常态化的，去基辅打卡的那几次都是意气风发精神抖擞'], '动了，万斯是卖保健品头子', [], '得分人，老特他年轻时候就很抽象，搞房地产搞赌场把自己搞破产了', ['越来越抽象的牢特，才配得上越来越抽象的美国。', '老特年轻的时候开赌场，把自己开破产了'], '我听有些人说，老年人的偏执、固执是因为小脑萎缩了。所以老小孩儿得天天哄着。', ['也不是，有时候打一顿，他也能很快认清自己的位置。', '哈哈哈，办法简单粗暴但结果立竿见影是吧'], '懂王第二任期，别的不说，相比第一任期的时候，那种意气风发挥斥方遒的锐气和活力少了很多了，能很明显看出来老了很多，在镜头面前永远是一副累得要死没休息好的状态', ['就这上任的几个月，眼见的衰老加速了，精气神跟竞选的时候已经差了很多。', '特别从那一枪之后'], '“人活70古来稀，我79了…', ['窜了的是拜登', '79正是成婚的好年纪。'], '阁老您今年80，明年就该79了', [], '拜登精神也有好的时候和不好的时候\n\n\n\n\n当一大堆事情要处理的时候，别说老人，年轻人都都会累\n\n\n\n\n闲下来了，或是只处理一两件并不复杂的事情，精神头就好了\n\n\n\n\n特朗普现在手头的事情千头万绪，那么大年龄了精力很难兼顾', [], '五十几就很偏执了', ['还是要看对象。任正非都八十一了，还精神抖擞，华为蒸蒸日上。'], '他们对世界的理解应该还停留在八九十年代的美国', ['准确的说是他幻想的八九十年代']]"
4,"川普每天一睁眼：“把昨天都作废......”

东大百分之九十九的县委书记，政治能力都比特朗普强。从三河的教训与我们的执政效率来看，哪个地区书记敢像他这么发疯，十天半月就要被人弄下来。","['是百分之九十的村委书记都比他强', ['现在叫一肩挑了，村支部书记兼村民主任（村长）', '确实 我们村书记都不这样'], '朝令夕改，甚至前辈祖宗们已经把成语都想好了。', ['什么朝令夕改，那么难听，川皇那叫与时俱进', '西方人应该造一个词汇叫特朗普的承诺来讽刺那种朝令夕改，毫无信用不守承诺的无耻政客和人群'], '辱县委书记了，县委书记也是正处级干部，但是说是村委书记吧又想起来我老家的村委书记，天天骑个破自行车子在田间地头转圈，特朗普比不了人家一点敬业', ['我们村老书记当年去供电所门口耍赖皮，给我们村地里接了农用电', '这事20年前，我爸也干过，我爸那时候是我们村股份经济合作社董事长兼书记，我爸要的不是农用电，是管道天然气。哈哈'], '川普：我说过，我不闪躲，我非要这么做', ['讲不听也偏要爱，更努力爱，让你明白～', '开枪时，你没闪躲吗？好意思吗。'], '我觉得应该是百分之百', ['还是有些漏网之鱼的，基本没有漏网之鱼大概要到省市这个级别吧', '省市级的话随便去哪个西方国家当领导人能力都ok的'], '把昨天都作废\n现在钱在我眼前\n我想赚请给我机会\n如果我错了你承担\n认定钱就是答案\n我不怕谁嘲笑我极端', ['顺便唱出来发抖音，不然我不看。'], '真正的践行了每一天都是新的一天！', [], '随便去大学抓个班长来都比他强', [], '副镇长以上，没有比川普差的', [], '这就对了啊，执政能力强的人怎么适合当美国总统，金主和选举人选你是让你执政的吗', []]"
5,"我一个在美国留学的同学评价为——

“因为上一届没有成功连任，所以这届选上来之后开始报复社会了。”","['卧槽，留学生也能这样精准的还原事情本质', ['不一定，主要是川普这届似乎在针对华人留学生，随机遣送回国。不让留学生继续读。', '特朗普和它的领导班子非常仇恨敌视黄种人'], '个人觉得主要还是那颗子弹~', ['不是，是让他更自信的认为自己是天选之人。', '意味着党争压倒外敌，成了这届美国政府的第一要务，就算让老中把美国霸权淦碎了又如何，老中起码不会试图要牢川的命啊要是川普这届没能和林肯一样把民主党淦到几十年内再起不能，等民主党再次上台，牢川是真可能全家祭天然后“死于紫砂”的'], '确实，川普上一任内阁里还有大量传统建制派，至少不会太胡来。\n\n结果下台时候背刺了，所以这一任上，能力是次要的，忠心才是最关键的。', ['上一届彭斯，蓬佩奥，博尔顿，米利也不是啥省油的灯。不过这一届万斯，贝森特，纳瓦罗，威尔斯，鲁比奥，真可谓众正盈朝了', '类人群星闪耀时'], '特朗普：我的耳朵都受伤了，全世界都要听我的', [], '川子报仇，四年不晚', ['四是四十是十'], '没有吧，川子要干啥，从年轻时叨叨几十年了', [], '没事，我感觉他应该活不过这个任期，美国也活不过这个世纪', [], '这应该就是真相了', [], '等他收拾佩洛西，脖子都等长了', [], '我一个没有留学的同学认为：因为民主党没有连任成功开始抹黑了。', []]"
6,不开玩笑，我觉得在座各位都可以胜任美国的国会议员，甚至我们还没他们那么贪……,"['果真能让印度人吃牛肉那也是神人了', ['印度是个牛肉出口大国。他们的神真的可以用来换钱', '三哥那也有几亿穆斯林'], '还有后续', ['每次看到他们这样我就觉得工作中出现多大娄子都无妨', '一知半解是这样的，其实他要真的查一下，会发现印度吃牛肉，不吃牛肉和宗教关系不大，是刻板印象'], '', ['', '就是来找这个的'], '培育新市场，没毛病，估计营销出身', ['培育新市场可以理解，但是印度是牛肉出口大国啊，这跟卖石油给沙特有什么区别', '那不是培育新市场，那是改变印度宗教信仰，美国就是出兵把印度占领了，他也改变不了啊'], '我记得印度也是牛肉出口大国吧', ['刚想骂答主，看了内容确实没法反驳。。'], '令人想起之前有个俄罗斯官员说要往印尼出口猪肉', ['然后参会的所有人都没绷住。', '我记得台湾有一次招待印尼人上的烤乳猪'], '这是个反串手，真实身份是一名教师，他不是众议员。', [], '这个人不是众议员，所谓的“加州第54选区众议员”是自封的，因为加州一共52个选区。。。', [], '有种英国佬给印度士兵发涂了牛油和猪油的子弹那种感觉了', [], '平顶山拉煤倒腾到大同？', ['应该从大同买煤卖到平顶山', '不是，是请中东人吃猪肉']]"
7,"什么水平？特朗普第一任期的国防部长马提斯早就对他下过断语。

小学四五年级的水平，大概就这个水平吧，不能再高了。","['所以马蒂斯被开了，因为他发现了懂王最大的秘密', ['并非秘密', '并非最大'], '4年过去了，怎么着都该初一了', ['所以这回特别＂中二＂', '热爱学习，一直呆在小学校园。'], '认知水平，美国富家子弟教育就这样', ['并不是，懂王作为键政网红而言是个真正的天才。'], '泄露国家机密了', [], '难怪被开了，公众场合泄漏国家机密', [], '还是美式快乐教育下的小学四五年级', [], '马蒂斯被开除因为两个原因:1、他侮辱了总统，2、他泄露了国家机密', [], '他的第一任国务卿对他也是相似评价', [], '怀念四五年级的时候', ['怀念“童年”时光', '为啥不怀念2-3年级的时候？'], '当下属官还不提供情绪价值？那你被开不是正常的吗？', []]"
8,"以前张局座说过，川普当两任能把美帝拉下世界第一的宝座，我还不信，现在不得不信了。

100天就能搞出那么多事，让他当4年，美国这血条也禁不住他这么折腾。

局座因果律诚不我欺。","['以前的每日消遣:知乎，B站，贴吧，现在的每日消遣:推特看川宝，油管看川宝，白宫官网看川宝', ['老头儿说辞让我想起早年电脑城里JS的伎俩', '你看他还是得看他的truth social'], '太舒服了，网上一片用诚不欺我的，终于看到一个用诚不我欺的了', ['还有电视剧的一堆：现在的当务之急Xxxxx', '诚不我欺、诚不余欺是固定用法吧，比如咱们可以认为它们是成语。 诚不欺我更像是现代人“仿古”的一种说法。都是对的，但是固定搭配听起来更舒服一些。'], '最近怎么看不到局座了？', ['退休前要上网做节目，退休后还要上网做节目，那退休有什么意义？', '老早退休了'], '局座那金嘴是开了光的\n佛曰:天机不能再泄漏了', [], '说实话。美国血条真够厚的', ['非川建国同志不可撼动。可见川建国同志居功至伟。'], '局座高见', []]"
9,也就是在美国当总统，要是在非洲拉美早上奇葩小国了,"['众所周知，通辽小国的定义是人口与国土面积其一小于东大。美利坚完全符合定义', ['警惕川子为了不上奇葩小国而吞并印度', '🇨🇦：'], '我有一个大胆的想法：目前特朗普上台，他基本上胡作非为，然后各种背弃盟友，再有他还是一个普京的粉丝，我估计他一定会出卖乌克兰，所以我想在🇺🇦彻底完蛋前成立一个东乌克兰公司，不让他们专美于前，来征求一下大家的意见，看看有没有人愿意当第一个开路的勇士？', [], '亚非拉那些上来的胡安军长图图司令全小将起码得能掌控一支不小的武装力量啊，他行吗？', [], '说明美国还是体制不错，内力也雄厚，换非洲小国真完了', ['毕竟当了这么多年世界老大，类似完蛋前的贾府，但是最后免不了被后人糟蹋完家底呀', '家底厚啊。你想吃空红楼梦的贾家也要吃个10年8载的呢'], '美国也可以是奇葩小国', [], '为什么不能算是硬核狠人？而且也有龙场悟道情节', [], '@小约翰可汗来活了', [], '小约翰可汗', [], '还好美国家底厚 要不然。。。', [], '奇葩大国', []]"
10,"特朗普这届政府相当于：

让双尾彗星当国防部长

让红幻当军司令。

让罗翔当法律顾问。

让未明子当经济部长

让王晓当外交部长

让阳和平指导宣传

让雷军建立doge

让刘慈欣当科学顾问

……

即使这样，以上这些人都能办的比特朗普这届政府强。

——

你说特朗普和万斯是谁？

我当特朗普，随机抽一位互关当万斯。","['完了，我觉得这帮人其实挺靠谱的……\n啊，双尾彗星不行', ['还在诋毁', '慧慧:这样不好吧！'], '那可强十倍不只\n\n\n\n\n双尾和红幻知道美军不堪一击\n\n爱新觉罗翔知道司法要遵循基督教习惯\n\n未名子知道资本主义比奴隶制先进\n\n阳和平知道中美起冲突对美国不利\n\n王晓知道遇到问题翻联合国成例\n\n雷军知道不能强行在政治领域套商业逻辑\n\n刘慈欣知道科幻和科学是两回事\n\n\n\n\n这样的全明星整容，才值得做中国的对手', ['海格赛斯也知道美军不堪一击，认为部署在关岛的美国航母就是活靶子，却不想想为什么要部署在那', '然而特朗普班子的能力为负值'], '🐶慧明显是新闻发言人，打款低于五十万的发布会门都不让进。', ['大脚鼠会把一个发布会拆成5次发布', '切片发完了还要在开发一次总集篇'], '双尾彗星当国防部长不得把坦克全换成次元闪电炮啊', ['双尾彗星把核武器换成月亮牵引光束', '双尾彗星迫不及待的开了一盘《全面战争》'], '罗圣虽然有时候圣了点，但法学水平还是很在线的', ['至少人家或许大概真信那一套，而他的偶像为代表的美国法律界人士，基本是人面兽心', '有知识储备+逻辑自洽，超过很多人了'], '完蛋，一眼望去全是熟人，照镜子看看自己什么成分，这辈子有了。', ['我就认识阳和平、罗翔和王骁，而且阳和平仅限于认识，罗翔也很久没关注了', '打这话的时候完全忘记回答里还有雷军和刘慈欣了'], '罗翔至少是业内人士对吧', ['特朗普内阁确实也有些“业内人士”', '卢比奥'], '刘慈欣算高抬了，应该是让刘师兄当科学顾问', ['不是刘德华', '他当特首'], '拉倒吧，明明是找了刑天唐伯志当国防部长，装甲尼禄当参联会主席', ['这才是具有知乎特色的答案', '美国何德何能？'], '双尾至少不会像美国这个国防部长这么抽象', ['好歹不酗酒']]"
