floor_number,comment,replys
1,有点激动，第一次搬，大伙怎么看,[]
2,攻击了吗就给8u搬过来,"['我要做文明的人', '不就是比别人多了点脂肪吗，用自信打破审美不好吗', '回复 贴吧用户_G2y7M1U :串的不像，回去再练练', '回复 绊倒铁盒的半岛铁盒 :你不攻击她我可要攻击你了', '回复 绊倒铁盒的半岛铁盒 :', '3', '回复 贴吧用户_G2y7M1U :希望你变成她美丽的外貌', '回复 绊倒铁盒的半岛铁盒 :', '3', '3']"
3,美颜加P图拉到最大还长成这个b样再加上这个脑谈思想可以拉去开发新能源了,"['新的圣经', '烧猪油算什么新能源', '合影', '合影', '合影', 'rd合影', '胡说，这根本不是新能源，古代时候董卓就已经测试过了', '回复 雨醉青花 :', '3', '3']"
5,来两斤淋巴肉,"['还是广西老表会吃', '3', '3', '3', '3', '3', '3', '3', '3', '3']"
6,你个弱智，见到史不先骂一顿展示孙吧雄风，反而高兴得双手捧着到处钻来恶心8u是吧,"['自己恶心到了来恶心吧友们', '合影', '这种还是有市场的,你楼上的楼上就喜欢赤石', '合影！', '入典', '合影！', '合影', '合影喵', '', '核心吧友也太硬核了']"
7,是石无疑,"['好家伙，我家杀年猪都没这么多肥肉', '人家说的其实也没错，医美已经没用了，只能靠自信了', '回复 圆蛋快乐 :只要足够自信，那么一切反对的声音都是来自嫉妒', '3', '3', '扬起自信的脸庞，舒展心灵的光芒，女人的美丽，正悄然绽放 。', '3', '3', '3', '回复 圆蛋快乐 :等冰河世纪的时候我可能会嫉妒一下她家人不愁吃']"
9,第一次赤诗这么高兴这辈子有了。还有fvvlz不知道喷吗？你这样让我们鼠鼠在小红薯怎么做人,"['合影', '合影', '3', '3', '3', '3', '3', '合影', '', '3']"
10,这种女孩子多可爱啊，你们眼睛抹了💩可以去洗洗,"['快去艹求求你了', 'ldx赶紧爆金币', '0.1年黄牌', '你老婆', '这号怎么刷的', '你老婆', '怎么刷的', '回复 贴吧用户_aVNNMRU :充钱', '你老婆', '3']"
11,整天打这种弱智的标签疯狂给自己贴金然后发个鬼图，然后大量散播试图给别人洗脑让人们都喜欢她，同时给自己贴金。殊不知💩就是💩，她就是贴满了金箔也不可能变成金币巧克力。,"['', '合影', '没来晚？合影', '这就是黄牌的攻击力吗', '合影', '是凯隐大帝我们有救了', '建议你转红凯，专克肉装坦克', '轮到我合影了', '合影', '我要合影']"
15,你搬得动吗,"['绿牌才是孙吧的未来', '', '', '', '黄牌跟你们这群绿牌天才拼了', '令人发指的创造力', '']"
17,耄耋求你不用搬史了,"['哈！', '对楼主使用哈气吧', '看得我哈气了', '开哈开哈', '3', '3', '哈！', '3', '老吴', '3']"
20,我老婆，真的好爱这种,"['不像演的', '3', '不像演的', '锁死', '糙给8u看 不然不信', '回复 木木._. :那算了', '99', '没错 我们湖北人就是爱吃这一口', '3', '不像演的']"
21,脂肪肝是尸体最好的医美,"['谁言人族无大帝', '合影', '新典籍', '入典', '合影', '合影', '智齿', '合影', '入典', '合影']"
23,我只能说 极品,"['3', '极品的竹是吧', '3']"
24,"就知道搬💩，也没见你发攻击人家的截图。
下次再见到你搬💩，就把你跟她一样抓进妙妙屋里做成神奇妙妙工具","['333', '3']"
