floor_number,comment,replys
1,弄个超，楼下西索,[]
2,"3月份的时候，升初三了，重新分班，重新分宿舍。
依照成绩划分，鼠鼠在二班，这位逆天同学原本考得很好被分到了一班，但是到了一班没多久，就有学生受不了她的逆天操作，合力告诉老师后，老师将她转到了二班","['初中黄牌？这么有生活', '初中黄牌？歪日', '', '初中黄牌女鼠', '回复 lszsszz :歪日buff叠满了', '16.3的吧龄，《初中》', '这辈子有了', '前篇', '吧龄十六年？！']"
3,给别人嗦去了半天还没有蹦出来一个字？,"['沟槽的，别急', '回复 最6的狗旺财 :小朋友不许说藏话', '回复 最6的狗旺财 :说脏话就艾艹', '回复 最6的狗旺财 :NB，几岁，真能水都水到黄牌了', '回复 最6的狗旺财 :你个xdx，我命令你筷＋遍', '回复 最6的狗旺财 :不准说脏话']"
4,宿舍有8个床位，鼠鼠所在的宿舍只有7人，由于多出了一个床位，老师就把这个逆天同学安排进来了,['开端']
5,"刚刚认识这个逆天的时候，大家都觉得她挺正常的，学习很好，人也外向，搞不懂为什么她会被同学合力反抗
舍友小烁喜欢八卦，就去找了逆天同学没分班之前的同学询问，不问不知道，一问吓一跳",[]
7,"逆天之前的舍友告诉小烁，这个逆天喜欢在大家都睡着了的时候，偷偷看别人，也不知道是干什么，就是呆呆的盯着
小烁得知后就开始偷偷观察这个逆天，发现到了晚上熄灯之后，她会用一块很大的毛巾挂在床架上，然后偷偷摸摸的拉开一条缝，盯着别人，没用任何动作，就只是来回地把视线从一个舍友移动到另一个舍友身上","['有点哈人', '看着像是有偷窥癖的那种', '怎么跟我对象一样', '鬼面来了']"
8,先别讲，先恰个v,['V我30谢谢']
9,小烁把这件事情告诉了舍友们，大家都没有在意，觉得可能只是这个逆天在学习或者是发呆,[]
10,3月中旬，重新安排座位，老师把这个逆天调给鼠鼠当同桌了,"['', '', '', '推动剧情发展', '命运的齿轮开始转动', '', '序章过了进入主线']"
12,这个逆天大部分时间都是独来独往的，在宿舍里也和我们很少交流，也是在和鼠鼠同桌之后鼠鼠才发现，这个逆天不是很会说话捏，亦或者是情商太低了,[]
14,有一次，前桌的同学朝我们倾诉说自己的爷爷过世了，结果这逆天玩意直接拿那个同学的爷爷开玩笑，关键是并不好笑，非常的地狱,"['如果是我高低一耳刮子甩上去', '情商堪忧', '烤全羊啊嗯', '你滴爷爷进化失败辣.jpg', '人物塑造']"
15,"又有一次，鼠鼠和别人约好了一起吃饭，但这个逆天非要跟着鼠鼠，鼠鼠刚开始的时候就告诉她了，鼠鼠要和她不认识的吃饭，但是她还是缠着鼠鼠，没办法，就只好带着她一起吃了
跟鼠鼠约好吃饭的那个同学有点口音，这个逆天和那个同学也是第一次见面，吃着吃着，这个逆天玩意就开始模仿那个同学的口音，并嘲笑。中途还有好几次，这个逆天在别人没同意的情况下去夹别人的菜，整个吃饭的过程都非常尴尬","['确实逆天很cs啊', '老婆恰个v']"
16,"学校是有饭卡和水卡（洗澡）的，需要家长给学生现金，在开学后学生带着现金到充饭卡的地方把它充进去
3月底的时候，有几个舍友经常吐槽自己放在宿舍的现金丢失了，刚开始的那一两次大家都当是自己没保管好，不小心弄丢的，但随着时间的推移，这样的事情发生得越来越多，大家也开始互相猜疑了",[]
17,中午11点45下课，大部分时候都是12点整到达食堂，吃完饭也得12点半左右了，但是那天鼠鼠和舍友唐王不打算吃饭，直接回到了宿舍，并发现逆天在翻别人的柜子逆天的床上还有很多别人的东西，鼠鼠的牛奶，小烁的一些面包，以及一些不知道是谁的文具,['1145（惊厥）']
18,"鼠鼠和唐王立马召集其他舍友，决定盘问逆天。
午休前的10分钟，我们7人开始询问逆天现金的去向，逆天刚开始的时候避重就轻，只告诉我们她偷过的那些零食放在哪了，或者是吃了
我们也越来越红温，终于有人忍不住了，给了逆天两巴掌，逆天终于告诉我们她一共偷了1000多问她放在哪了，她就从自己的枕套里面拿出了400多，剩下的那些被她花掉了","['学校每个星期放一次假，每个星期一学生都会带着现金到校，逆天也会开始打野', '建议多攒点让她偷到3000以上准备证据给她送进去得了', '回复 永恒不再qwq :不太可能，学校每个星期放一次假，大部分学生都是每个星期，两三百生活费，要攒到3000太慢了', '高潮']"
